Origin,Destination,Carrier,ShipmentType,Weight,Volume,Dimensions,PlannedShipDate,ActualShipDate,PlannedDeliveryDate,ActualDeliveryDate,Status,DeliveryTimeDays
Philadelphia,Las Vegas,UPS,Standard,93.9,1.5,20x39x22,2025-05-06,2025-05-06,2025-05-10,2025-05-11,Delivered,5
Houston,Orlando,FedEx,Express,169.6,4.0,48x37x20,2025-05-21,2025-05-21,2025-05-22,2025-05-22,Disrupted,1
Boston,Phoenix,FedEx,Express,72.7,3.5,44x19x23,2025-05-17,2025-05-18,2025-05-23,2025-05-24,Delivered,6
Miami,Austin,FedEx,Standard,334.8,4.9,31x14x22,2025-05-16,2025-05-17,2025-05-23,2025-05-23,Disrupted,6
Chicago,Austin,DHL,Fragile,70.7,2.7,18x40x24,2025-05-23,2025-05-23,2025-05-29,2025-05-29,Delivered,6
Chicago,Las Vegas,DHL,Standard,277.2,4.9,49x21x28,2025-05-13,2025-05-13,2025-05-15,2025-05-15,Delivered,2
Miami,San Francisco,FedEx,Standard,175.8,2.8,28x38x13,2025-05-20,2025-05-20,2025-05-25,2025-05-25,Delivered,5
New York,Miami,FedEx,Express,71.3,1.9,23x22x13,2025-05-01,2025-05-01,2025-05-05,2025-05-05,Delivered,4
Atlanta,Los Angeles,UPS,Express,324.0,6.1,47x20x10,2025-05-17,2025-05-18,2025-05-20,2025-05-21,Delivered,3
New York,Seattle,DHL,Express,206.5,4.6,25x39x22,2025-05-27,2025-05-27,2025-05-28,2025-05-28,Delivered,1
Boston,Phoenix,UPS,Fragile,100.2,3.7,34x27x24,2025-05-12,2025-05-12,2025-05-17,2025-05-19,Delayed,7
Miami,Seattle,UPS,Fragile,167.1,3.0,18x18x30,2025-05-14,2025-05-14,2025-05-18,2025-05-18,Delivered,4
Detroit,Miami,FedEx,Express,121.2,2.4,29x31x12,2025-05-03,2025-05-03,2025-05-08,2025-05-09,Delivered,6
Philadelphia,Orlando,UPS,Fragile,225.6,2.8,28x14x13,2025-05-07,2025-05-07,2025-05-14,2025-05-16,Delivered,9
Detroit,Miami,UPS,Express,288.1,5.7,27x38x8,2025-05-02,2025-05-02,2025-05-04,2025-05-06,Disrupted,4
Chicago,Los Angeles,DHL,Fragile,177.0,3.9,18x12x18,2025-05-08,2025-05-09,2025-05-11,2025-05-11,Disrupted,2
Atlanta,San Francisco,FedEx,Fragile,288.2,3.5,28x18x29,2025-05-04,2025-05-04,2025-05-05,2025-05-05,Delivered,1
San Diego,Miami,UPS,Fragile,50.1,2.4,24x38x22,2025-05-22,2025-05-22,2025-05-23,2025-05-23,Delivered,1
San Diego,Denver,UPS,Fragile,142.6,3.3,26x10x21,2025-05-07,2025-05-07,2025-05-10,2025-05-10,Disrupted,3
Philadelphia,Los Angeles,UPS,Express,279.8,3.7,21x22x16,2025-05-24,2025-05-24,2025-05-30,2025-05-30,Delivered,6
Detroit,Orlando,DHL,Express,212.1,2.8,16x15x27,2025-05-08,2025-05-08,2025-05-14,2025-05-14,Delivered,6
San Diego,Austin,FedEx,Fragile,62.0,3.4,37x32x23,2025-05-27,2025-05-27,2025-06-02,2025-06-02,Delivered,6
San Diego,Orlando,UPS,Express,117.2,3.2,41x35x29,2025-05-26,2025-05-26,2025-05-27,2025-05-27,Delivered,1
Detroit,Denver,DHL,Fragile,129.4,4.0,49x39x13,2025-05-17,2025-05-17,2025-05-24,2025-05-24,Delivered,7
Dallas,Los Angeles,UPS,Fragile,107.8,3.4,39x19x30,2025-05-29,2025-05-29,2025-06-02,2025-06-03,Delivered,5
San Diego,Orlando,UPS,Fragile,80.7,2.6,16x34x22,2025-05-18,2025-05-18,2025-05-23,2025-05-23,Delivered,5
Atlanta,Miami,DHL,Standard,266.8,3.6,40x19x21,2025-05-23,2025-05-23,2025-05-29,2025-05-30,Disrupted,7
Miami,San Francisco,FedEx,Express,163.3,2.3,30x27x27,2025-05-05,2025-05-05,2025-05-12,2025-05-12,Delivered,7
Chicago,Los Angeles,DHL,Fragile,171.0,2.9,18x38x24,2025-05-01,2025-05-01,2025-05-08,2025-05-10,Delayed,9
Chicago,Orlando,DHL,Express,236.5,4.2,28x39x9,2025-05-06,2025-05-06,2025-05-08,2025-05-08,Disrupted,2
Detroit,Orlando,DHL,Express,227.1,3.3,20x13x21,2025-05-16,2025-05-16,2025-05-19,2025-05-20,Delayed,4
Boston,Los Angeles,FedEx,Standard,160.6,2.4,35x10x10,2025-05-30,2025-05-31,2025-06-03,2025-06-04,Disrupted,4
Philadelphia,Seattle,UPS,Fragile,267.9,4.0,38x12x26,2025-05-01,2025-05-01,2025-05-08,2025-05-08,Disrupted,7
New York,Los Angeles,FedEx,Standard,160.8,3.7,15x35x14,2025-05-29,2025-05-29,2025-06-03,2025-06-04,Delivered,6
Chicago,Denver,UPS,Fragile,349.6,5.0,18x32x26,2025-05-22,2025-05-22,2025-05-27,2025-05-27,Delayed,5
Detroit,San Francisco,DHL,Fragile,308.3,5.0,46x19x22,2025-05-21,2025-05-21,2025-05-26,2025-05-26,Delivered,5
Boston,Houston,UPS,Express,261.9,3.8,22x19x12,2025-05-15,2025-05-15,2025-05-20,2025-05-21,Delivered,6
Chicago,Seattle,DHL,Express,191.2,4.4,15x30x13,2025-05-16,2025-05-16,2025-05-18,2025-05-19,Delayed,3
Atlanta,San Francisco,DHL,Standard,99.7,3.9,29x39x15,2025-05-23,2025-05-24,2025-05-28,2025-05-28,Delayed,4
Detroit,Houston,DHL,Fragile,288.5,5.7,15x25x25,2025-05-02,2025-05-03,2025-05-05,2025-05-05,Delivered,2
Dallas,Houston,DHL,Standard,288.7,4.2,24x24x24,2025-05-09,2025-05-09,2025-05-14,2025-05-14,Delivered,5
Chicago,Denver,DHL,Express,99.1,2.9,21x15x30,2025-05-04,2025-05-04,2025-05-09,2025-05-11,Delivered,7
Dallas,Seattle,FedEx,Express,337.1,4.8,20x15x16,2025-05-26,2025-05-27,2025-05-31,2025-05-31,Delayed,4
Philadelphia,Miami,UPS,Express,215.7,3.9,42x35x9,2025-05-02,2025-05-02,2025-05-08,2025-05-08,Disrupted,6
Atlanta,Phoenix,FedEx,Fragile,243.1,4.6,44x35x25,2025-05-10,2025-05-11,2025-05-14,2025-05-14,Delayed,3
Chicago,San Francisco,DHL,Fragile,64.6,2.3,31x24x9,2025-05-18,2025-05-19,2025-05-21,2025-05-21,Delayed,2
Miami,Las Vegas,FedEx,Fragile,338.2,6.0,43x11x26,2025-05-20,2025-05-20,2025-05-23,2025-05-23,Delivered,3
Philadelphia,Orlando,FedEx,Express,179.9,4.6,48x25x15,2025-05-19,2025-05-20,2025-05-21,2025-05-23,Delivered,3
Boston,Orlando,FedEx,Fragile,72.2,2.0,41x26x30,2025-05-06,2025-05-07,2025-05-09,2025-05-11,Delivered,4
Houston,Miami,DHL,Standard,349.4,4.6,27x18x14,2025-05-26,2025-05-26,2025-05-29,2025-05-31,Delivered,5
Detroit,Houston,FedEx,Express,291.5,3.9,31x39x25,2025-05-21,2025-05-21,2025-05-23,2025-05-23,Delayed,2
Chicago,Houston,FedEx,Express,201.6,4.4,43x29x14,2025-05-26,2025-05-26,2025-05-31,2025-06-02,Delivered,7
Atlanta,Los Angeles,DHL,Standard,286.5,4.7,31x12x17,2025-05-02,2025-05-02,2025-05-03,2025-05-03,Delayed,1
Chicago,Austin,UPS,Fragile,199.2,4.0,32x31x29,2025-05-18,2025-05-18,2025-05-22,2025-05-22,Delivered,4
New York,Orlando,FedEx,Fragile,256.9,4.5,33x21x28,2025-05-10,2025-05-10,2025-05-17,2025-05-17,Delayed,7
Miami,Houston,UPS,Fragile,163.2,3.1,38x10x21,2025-05-03,2025-05-03,2025-05-07,2025-05-08,Delayed,5
Detroit,Orlando,FedEx,Express,130.9,2.8,28x20x16,2025-05-17,2025-05-17,2025-05-23,2025-05-23,Delivered,6
Detroit,Orlando,DHL,Express,70.4,2.1,31x16x13,2025-05-11,2025-05-11,2025-05-12,2025-05-12,Delayed,1
Miami,Phoenix,DHL,Express,310.9,5.4,45x36x29,2025-05-17,2025-05-17,2025-05-23,2025-05-23,Disrupted,6
Chicago,Orlando,UPS,Standard,201.6,3.9,29x31x19,2025-05-13,2025-05-13,2025-05-16,2025-05-16,Delivered,3
Atlanta,Orlando,UPS,Express,311.0,4.4,25x19x30,2025-05-17,2025-05-17,2025-05-18,2025-05-18,Delivered,1
San Diego,Austin,FedEx,Fragile,94.3,3.8,17x40x19,2025-05-13,2025-05-14,2025-05-19,2025-05-19,Delivered,5
San Diego,Houston,UPS,Standard,253.2,3.8,29x29x10,2025-05-18,2025-05-18,2025-05-22,2025-05-23,Delivered,5
Dallas,Las Vegas,DHL,Fragile,291.3,4.0,19x36x12,2025-05-29,2025-05-29,2025-05-31,2025-05-31,Delivered,2
Detroit,Los Angeles,UPS,Standard,236.2,3.1,26x21x23,2025-05-23,2025-05-23,2025-05-28,2025-05-28,Delayed,5
Dallas,Denver,FedEx,Fragile,331.5,4.6,31x13x21,2025-05-30,2025-05-30,2025-06-02,2025-06-02,Delivered,3
San Diego,Denver,FedEx,Fragile,151.4,2.6,27x10x20,2025-05-29,2025-05-29,2025-06-02,2025-06-02,Delayed,4
New York,Phoenix,FedEx,Fragile,307.8,5.7,18x37x15,2025-05-08,2025-05-08,2025-05-14,2025-05-15,Disrupted,7
New York,Houston,UPS,Standard,91.1,2.0,49x21x21,2025-05-18,2025-05-18,2025-05-22,2025-05-23,Disrupted,5
Philadelphia,Las Vegas,UPS,Standard,349.5,4.3,26x27x21,2025-05-17,2025-05-17,2025-05-20,2025-05-20,Delivered,3
Chicago,Seattle,UPS,Express,305.5,3.8,17x26x14,2025-05-07,2025-05-07,2025-05-08,2025-05-08,Delayed,1
Detroit,Los Angeles,DHL,Fragile,228.1,5.2,38x11x17,2025-05-03,2025-05-03,2025-05-05,2025-05-06,Delivered,3
Miami,Los Angeles,DHL,Standard,198.6,4.9,46x10x8,2025-05-12,2025-05-12,2025-05-18,2025-05-20,Disrupted,8
Philadelphia,Houston,FedEx,Standard,175.1,3.6,44x30x8,2025-05-08,2025-05-09,2025-05-10,2025-05-10,Delayed,1
Detroit,Miami,DHL,Express,262.4,3.8,19x33x23,2025-05-29,2025-05-29,2025-06-02,2025-06-02,Delivered,4
Atlanta,Miami,DHL,Fragile,67.7,3.1,35x22x15,2025-05-23,2025-05-23,2025-05-29,2025-05-30,Delayed,7
Boston,Seattle,FedEx,Standard,153.4,3.5,19x23x10,2025-05-29,2025-05-29,2025-06-05,2025-06-05,Disrupted,7
Chicago,Seattle,FedEx,Express,305.3,4.2,23x29x22,2025-05-03,2025-05-03,2025-05-09,2025-05-09,Delivered,6
Chicago,Phoenix,DHL,Fragile,147.5,3.7,46x26x28,2025-05-30,2025-05-30,2025-05-31,2025-06-01,Delivered,2
San Diego,Denver,DHL,Express,300.9,5.5,23x40x14,2025-05-31,2025-05-31,2025-06-03,2025-06-03,Delivered,3
Miami,San Francisco,UPS,Express,100.8,2.5,15x35x26,2025-05-17,2025-05-17,2025-05-21,2025-05-21,Delayed,4
Philadelphia,Seattle,FedEx,Express,154.4,4.4,39x10x15,2025-05-31,2025-05-31,2025-06-01,2025-06-01,Disrupted,1
San Diego,Orlando,UPS,Standard,171.0,3.4,16x39x19,2025-05-18,2025-05-19,2025-05-24,2025-05-26,Delivered,7
Atlanta,Phoenix,UPS,Standard,189.9,3.4,28x12x29,2025-05-07,2025-05-07,2025-05-12,2025-05-12,Delivered,5
New York,Austin,DHL,Express,54.0,2.4,34x33x28,2025-05-21,2025-05-21,2025-05-27,2025-05-29,Delivered,8
Boston,Miami,DHL,Express,241.9,3.0,26x24x10,2025-05-14,2025-05-15,2025-05-19,2025-05-20,Disrupted,5
Atlanta,Orlando,DHL,Express,100.5,2.8,16x19x24,2025-05-02,2025-05-02,2025-05-04,2025-05-04,Delivered,2
Miami,San Francisco,DHL,Standard,90.1,3.8,48x14x29,2025-05-24,2025-05-25,2025-05-30,2025-05-31,Delayed,6
Houston,Houston,FedEx,Fragile,165.7,4.4,20x39x15,2025-05-13,2025-05-13,2025-05-14,2025-05-14,Disrupted,1
Dallas,Houston,FedEx,Fragile,196.1,3.8,40x31x8,2025-05-08,2025-05-08,2025-05-10,2025-05-11,Delayed,3
Boston,Orlando,UPS,Fragile,204.3,3.8,16x11x22,2025-05-22,2025-05-22,2025-05-25,2025-05-25,Delivered,3
Dallas,Denver,UPS,Fragile,227.1,3.0,17x18x21,2025-05-30,2025-05-30,2025-06-06,2025-06-06,Delayed,7
Detroit,Austin,UPS,Express,324.3,5.5,33x22x15,2025-05-21,2025-05-21,2025-05-25,2025-05-25,Delivered,4
New York,Las Vegas,FedEx,Fragile,288.1,3.7,35x39x12,2025-05-08,2025-05-08,2025-05-12,2025-05-14,Delivered,6
Miami,Houston,DHL,Fragile,205.0,3.7,32x21x16,2025-05-22,2025-05-22,2025-05-25,2025-05-25,Delayed,3
Dallas,Las Vegas,DHL,Fragile,340.8,5.5,32x20x9,2025-05-23,2025-05-23,2025-05-29,2025-05-29,Delivered,6
Chicago,Orlando,UPS,Standard,126.1,3.3,24x20x29,2025-05-12,2025-05-12,2025-05-14,2025-05-14,Delivered,2
Miami,Phoenix,FedEx,Fragile,50.9,1.2,49x26x24,2025-05-01,2025-05-01,2025-05-06,2025-05-07,Delivered,6
New York,Miami,DHL,Express,76.3,1.7,47x33x8,2025-05-27,2025-05-27,2025-06-01,2025-06-01,Delivered,5
Dallas,Seattle,UPS,Express,239.1,5.3,20x31x16,2025-05-06,2025-05-06,2025-05-11,2025-05-12,Delivered,6
New York,Orlando,FedEx,Express,128.8,4.2,15x27x26,2025-05-23,2025-05-23,2025-05-30,2025-05-30,Delayed,7
Dallas,Miami,DHL,Standard,224.4,4.9,38x22x29,2025-05-29,2025-05-30,2025-06-03,2025-06-03,Delivered,4
New York,Houston,FedEx,Fragile,285.2,5.4,31x34x10,2025-05-10,2025-05-10,2025-05-11,2025-05-11,Delivered,1
Dallas,Orlando,DHL,Standard,217.1,4.1,20x30x29,2025-05-21,2025-05-21,2025-05-25,2025-05-25,Delivered,4
Boston,Seattle,FedEx,Fragile,109.3,2.2,42x27x26,2025-05-19,2025-05-20,2025-05-20,2025-05-22,Delivered,2
Houston,Los Angeles,DHL,Express,175.8,2.4,45x31x24,2025-05-24,2025-05-24,2025-05-27,2025-05-29,Delayed,5
New York,Las Vegas,DHL,Fragile,341.0,4.8,22x29x30,2025-05-22,2025-05-22,2025-05-29,2025-05-30,Delivered,8
Houston,Los Angeles,FedEx,Standard,92.6,1.9,35x25x25,2025-05-07,2025-05-07,2025-05-11,2025-05-13,Delayed,6
Atlanta,San Francisco,FedEx,Fragile,82.6,2.0,18x25x14,2025-05-23,2025-05-23,2025-05-27,2025-05-27,Delivered,4
Philadelphia,Los Angeles,FedEx,Standard,106.5,2.1,45x31x12,2025-05-04,2025-05-04,2025-05-07,2025-05-07,Delivered,3
San Diego,Denver,UPS,Express,69.4,3.7,21x29x15,2025-05-26,2025-05-27,2025-06-01,2025-06-01,Delivered,5
Dallas,Las Vegas,DHL,Express,293.6,3.6,22x21x15,2025-05-11,2025-05-11,2025-05-15,2025-05-16,Delivered,5
Miami,Los Angeles,DHL,Standard,162.7,4.2,32x20x20,2025-05-01,2025-05-01,2025-05-02,2025-05-02,Delivered,1
Chicago,Austin,FedEx,Express,195.9,4.6,31x37x26,2025-05-09,2025-05-09,2025-05-12,2025-05-12,Delivered,3
Atlanta,Orlando,UPS,Fragile,282.2,4.9,42x23x18,2025-05-06,2025-05-06,2025-05-10,2025-05-10,Delivered,4
Detroit,Phoenix,UPS,Express,225.0,2.8,15x29x21,2025-05-14,2025-05-14,2025-05-19,2025-05-19,Delivered,5
Boston,Miami,FedEx,Standard,66.8,2.4,47x23x21,2025-05-23,2025-05-23,2025-05-28,2025-05-30,Delivered,7
Atlanta,Austin,DHL,Express,193.9,4.3,38x17x25,2025-05-27,2025-05-27,2025-05-28,2025-05-30,Delivered,3
Houston,San Francisco,FedEx,Standard,225.5,3.4,29x30x25,2025-05-20,2025-05-20,2025-05-24,2025-05-24,Delayed,4
Chicago,Denver,UPS,Express,52.4,2.4,41x30x14,2025-05-07,2025-05-07,2025-05-08,2025-05-08,Delivered,1
Chicago,Phoenix,DHL,Express,324.3,3.9,22x17x27,2025-05-26,2025-05-26,2025-05-27,2025-05-28,Delivered,2
Chicago,Los Angeles,UPS,Fragile,339.0,5.9,46x11x27,2025-05-10,2025-05-10,2025-05-15,2025-05-15,Delivered,5
Philadelphia,Denver,FedEx,Fragile,263.0,5.4,21x35x13,2025-05-10,2025-05-10,2025-05-12,2025-05-13,Delayed,3
San Diego,Austin,FedEx,Fragile,94.0,1.6,29x20x24,2025-05-14,2025-05-14,2025-05-15,2025-05-15,Delivered,1
Chicago,Los Angeles,DHL,Express,134.5,2.3,17x40x16,2025-05-28,2025-05-28,2025-05-31,2025-05-31,Delivered,3
Miami,Orlando,FedEx,Standard,332.0,5.7,17x27x29,2025-05-04,2025-05-04,2025-05-09,2025-05-09,Delivered,5
Boston,Phoenix,FedEx,Fragile,186.8,3.3,48x20x25,2025-05-20,2025-05-20,2025-05-27,2025-05-27,Delivered,7
Atlanta,Austin,UPS,Standard,182.9,3.0,29x22x26,2025-05-05,2025-05-05,2025-05-12,2025-05-12,Delivered,7
San Diego,Miami,UPS,Fragile,298.2,5.1,23x39x12,2025-05-02,2025-05-03,2025-05-07,2025-05-07,Delivered,4
New York,Phoenix,DHL,Fragile,278.0,4.3,20x23x20,2025-05-20,2025-05-20,2025-05-23,2025-05-23,Delivered,3
Detroit,Denver,UPS,Fragile,306.6,3.7,50x38x16,2025-05-29,2025-05-29,2025-06-03,2025-06-04,Delivered,6
Chicago,Houston,UPS,Express,96.6,3.5,27x40x21,2025-05-24,2025-05-25,2025-05-29,2025-05-29,Delivered,4
Detroit,Orlando,UPS,Fragile,164.5,3.4,37x16x29,2025-05-25,2025-05-26,2025-05-30,2025-06-01,Delivered,6
San Diego,Las Vegas,DHL,Fragile,167.7,3.2,21x24x13,2025-05-18,2025-05-18,2025-05-24,2025-05-24,Delivered,6
Miami,Austin,UPS,Express,175.4,4.7,24x33x9,2025-05-27,2025-05-27,2025-05-30,2025-05-31,Delivered,4
Detroit,Phoenix,UPS,Fragile,275.7,4.1,35x40x18,2025-05-15,2025-05-15,2025-05-19,2025-05-20,Delivered,5
San Diego,Los Angeles,DHL,Express,202.5,3.4,43x23x10,2025-05-19,2025-05-19,2025-05-25,2025-05-25,Delivered,6
Houston,Los Angeles,FedEx,Fragile,309.5,5.8,46x27x17,2025-05-09,2025-05-09,2025-05-12,2025-05-12,Disrupted,3
New York,Denver,UPS,Express,104.9,2.7,30x29x26,2025-05-21,2025-05-21,2025-05-26,2025-05-26,Delivered,5
Dallas,Phoenix,UPS,Express,127.3,3.6,34x23x26,2025-05-09,2025-05-09,2025-05-11,2025-05-11,Delivered,2
New York,Los Angeles,FedEx,Fragile,173.5,2.7,50x38x10,2025-05-23,2025-05-24,2025-05-28,2025-05-28,Delivered,4
Miami,San Francisco,UPS,Express,308.3,4.5,17x26x23,2025-05-04,2025-05-04,2025-05-10,2025-05-12,Delivered,8
Detroit,San Francisco,UPS,Fragile,266.3,4.6,31x34x15,2025-05-25,2025-05-25,2025-06-01,2025-06-01,Delivered,7
Philadelphia,Seattle,DHL,Fragile,81.1,2.5,15x13x11,2025-05-26,2025-05-26,2025-05-31,2025-06-02,Delivered,7
Philadelphia,Seattle,UPS,Fragile,310.7,5.0,21x20x8,2025-05-31,2025-05-31,2025-06-05,2025-06-05,Disrupted,5
Miami,Los Angeles,DHL,Fragile,74.1,2.9,42x40x22,2025-05-13,2025-05-13,2025-05-16,2025-05-16,Delivered,3
San Diego,San Francisco,DHL,Standard,336.2,5.1,41x36x18,2025-05-01,2025-05-02,2025-05-07,2025-05-09,Delivered,7
Dallas,Orlando,FedEx,Fragile,92.2,2.2,24x23x8,2025-05-16,2025-05-16,2025-05-17,2025-05-17,Delivered,1
New York,Los Angeles,UPS,Standard,280.8,4.2,30x32x8,2025-05-01,2025-05-02,2025-05-07,2025-05-07,Delayed,5
Miami,Phoenix,FedEx,Express,301.2,5.5,43x11x16,2025-05-19,2025-05-20,2025-05-25,2025-05-25,Delayed,5
Houston,Denver,DHL,Express,81.4,3.3,31x36x28,2025-05-13,2025-05-13,2025-05-19,2025-05-19,Delayed,6
Houston,Las Vegas,DHL,Fragile,65.8,3.3,49x11x13,2025-05-31,2025-05-31,2025-06-05,2025-06-05,Delivered,5
San Diego,Los Angeles,DHL,Fragile,65.0,2.8,37x32x16,2025-05-13,2025-05-13,2025-05-14,2025-05-16,Delayed,3
Detroit,Houston,FedEx,Express,53.2,2.1,30x36x18,2025-05-11,2025-05-11,2025-05-14,2025-05-14,Delivered,3
San Diego,Austin,FedEx,Fragile,340.8,6.1,38x20x10,2025-05-07,2025-05-07,2025-05-13,2025-05-13,Delivered,6
Chicago,Orlando,UPS,Express,98.0,2.3,36x20x27,2025-05-03,2025-05-03,2025-05-08,2025-05-09,Delivered,6
Houston,Las Vegas,DHL,Express,86.1,1.5,19x19x30,2025-05-15,2025-05-16,2025-05-18,2025-05-18,Delivered,2
Miami,Seattle,UPS,Fragile,273.6,3.8,48x12x11,2025-05-26,2025-05-26,2025-05-29,2025-05-29,Delivered,3
Chicago,Austin,DHL,Express,251.3,3.1,39x31x12,2025-05-10,2025-05-10,2025-05-16,2025-05-16,Disrupted,6
Houston,Las Vegas,FedEx,Express,294.9,5.2,32x39x11,2025-05-05,2025-05-05,2025-05-11,2025-05-13,Disrupted,8
Houston,Los Angeles,DHL,Fragile,221.7,4.3,38x33x12,2025-05-23,2025-05-24,2025-05-30,2025-05-30,Disrupted,6
Philadelphia,Los Angeles,DHL,Fragile,76.4,2.2,21x21x25,2025-05-28,2025-05-28,2025-06-03,2025-06-03,Delivered,6
Detroit,San Francisco,DHL,Standard,211.2,4.2,17x14x12,2025-05-02,2025-05-03,2025-05-05,2025-05-05,Delivered,2
Detroit,Houston,UPS,Express,98.5,2.5,50x26x10,2025-05-11,2025-05-11,2025-05-13,2025-05-13,Delayed,2
Philadelphia,Houston,UPS,Fragile,262.1,4.0,32x10x21,2025-05-09,2025-05-09,2025-05-13,2025-05-13,Delivered,4
Chicago,Miami,DHL,Express,168.8,3.6,15x35x10,2025-05-20,2025-05-20,2025-05-25,2025-05-27,Delivered,7
Boston,Miami,FedEx,Fragile,89.9,3.4,40x13x14,2025-05-21,2025-05-21,2025-05-27,2025-05-27,Delayed,6
Philadelphia,San Francisco,FedEx,Fragile,220.1,3.0,15x17x23,2025-05-20,2025-05-21,2025-05-22,2025-05-22,Delivered,1
Houston,San Francisco,FedEx,Express,284.0,4.2,22x11x26,2025-05-30,2025-05-30,2025-06-03,2025-06-03,Delayed,4
New York,Houston,FedEx,Express,240.8,4.8,25x22x28,2025-05-14,2025-05-15,2025-05-17,2025-05-18,Delivered,3
Philadelphia,Houston,DHL,Standard,153.6,3.6,47x38x8,2025-05-27,2025-05-28,2025-05-31,2025-05-31,Delivered,3
Detroit,Austin,FedEx,Express,72.1,3.3,40x19x29,2025-05-23,2025-05-23,2025-05-24,2025-05-26,Delayed,3
Philadelphia,Los Angeles,UPS,Fragile,181.9,3.7,41x33x25,2025-05-19,2025-05-19,2025-05-22,2025-05-22,Delivered,3
Detroit,Houston,FedEx,Standard,264.6,4.6,34x32x13,2025-05-16,2025-05-16,2025-05-23,2025-05-23,Delayed,7
