Weight,Volume,Dimensions,AnomalyFlag
331.5,4.6,31x13x21,0
151.4,2.6,27x10x20,0
307.8,5.7,18x37x15,0
91.1,2.0,49x21x21,0
349.5,4.3,26x27x21,0
305.5,3.8,17x26x14,0
228.1,5.2,38x11x17,0
198.6,4.9,46x10x8,0
175.1,3.6,44x30x8,0
262.4,3.8,19x33x23,0
67.7,3.1,35x22x15,0
153.4,3.5,19x23x10,0
305.3,4.2,23x29x22,0
147.5,3.7,46x26x28,0
300.9,5.5,23x40x14,0
100.8,2.5,15x35x26,0
154.4,4.4,39x10x15,0
171.0,3.4,16x39x19,0
189.9,3.4,28x12x29,0
54.0,2.4,34x33x28,0
241.9,3.0,26x24x10,0
100.5,2.8,16x19x24,0
90.1,3.8,48x14x29,1
165.7,4.4,20x39x15,0
196.1,3.8,40x31x8,1
204.3,3.8,16x11x22,0
227.1,3.0,17x18x21,0
324.3,5.5,33x22x15,1
288.1,3.7,35x39x12,0
205.0,3.7,32x21x16,0
340.8,5.5,32x20x9,0
126.1,3.3,24x20x29,1
50.9,1.2,49x26x24,0
76.3,1.7,47x33x8,0
239.1,5.3,20x31x16,0
128.8,4.2,15x27x26,0
224.4,4.9,38x22x29,0
285.2,5.4,31x34x10,0
217.1,4.1,20x30x29,0
109.3,2.2,42x27x26,0
175.8,2.4,45x31x24,0
341.0,4.8,22x29x30,0
92.6,1.9,35x25x25,0
82.6,2.0,18x25x14,0
106.5,2.1,45x31x12,0
69.4,3.7,21x29x15,0
293.6,3.6,22x21x15,0
162.7,4.2,32x20x20,0
195.9,4.6,31x37x26,0
282.2,4.9,42x23x18,1
225.0,2.8,15x29x21,0
66.8,2.4,47x23x21,0
193.9,4.3,38x17x25,0
225.5,3.4,29x30x25,0
52.4,2.4,41x30x14,0
324.3,3.9,22x17x27,0
339.0,5.9,46x11x27,0
263.0,5.4,21x35x13,0
94.0,1.6,29x20x24,0
134.5,2.3,17x40x16,0
332.0,5.7,17x27x29,0
186.8,3.3,48x20x25,0
182.9,3.0,29x22x26,0
298.2,5.1,23x39x12,0
278.0,4.3,20x23x20,0
306.6,3.7,50x38x16,0
96.6,3.5,27x40x21,0
164.5,3.4,37x16x29,0
167.7,3.2,21x24x13,0
175.4,4.7,24x33x9,0
275.7,4.1,35x40x18,0
202.5,3.4,43x23x10,1
309.5,5.8,46x27x17,0
104.9,2.7,30x29x26,0
127.3,3.6,34x23x26,0
173.5,2.7,50x38x10,0
308.3,4.5,17x26x23,0
266.3,4.6,31x34x15,0
81.1,2.5,15x13x11,0
310.7,5.0,21x20x8,0
74.1,2.9,42x40x22,0
336.2,5.1,41x36x18,0
92.2,2.2,24x23x8,0
280.8,4.2,30x32x8,0
301.2,5.5,43x11x16,0
81.4,3.3,31x36x28,0
65.8,3.3,49x11x13,0
65.0,2.8,37x32x16,0
53.2,2.1,30x36x18,0
340.8,6.1,38x20x10,0
98.0,2.3,36x20x27,0
86.1,1.5,19x19x30,0
273.6,3.8,48x12x11,0
251.3,3.1,39x31x12,0
294.9,5.2,32x39x11,0
221.7,4.3,38x33x12,0
76.4,2.2,21x21x25,0
211.2,4.2,17x14x12,0
98.5,2.5,50x26x10,0
262.1,4.0,32x10x21,0
168.8,3.6,15x35x10,0
89.9,3.4,40x13x14,0
220.1,3.0,15x17x23,0
284.0,4.2,22x11x26,0
240.8,4.8,25x22x28,0
153.6,3.6,47x38x8,0
72.1,3.3,40x19x29,0
181.9,3.7,41x33x25,0
264.6,4.6,34x32x13,0
211.6,2.9,28x21x26,0
249.8,5.1,42x17x9,0
309.1,5.3,40x40x30,0
55.7,3.5,29x30x17,0
205.9,3.9,18x37x20,0
175.4,3.2,26x25x28,0
93.9,2.0,48x27x12,0
146.2,3.7,33x16x17,0
325.1,5.7,44x36x13,0
185.9,3.1,15x16x15,0
85.8,2.5,38x23x30,0
220.6,3.7,30x19x9,0
148.4,3.0,43x38x12,0
210.5,3.6,37x14x25,0
309.5,4.3,17x12x10,0
127.0,2.1,31x23x9,0
84.0,2.0,25x17x29,0
261.5,3.8,27x16x17,0
93.7,2.9,23x37x24,0
158.8,4.0,48x24x12,0
241.4,4.2,24x36x17,0
319.9,4.7,20x32x26,0
66.0,3.6,37x30x18,0
144.2,3.5,22x32x10,0
256.0,3.4,42x13x22,0
256.5,3.1,41x20x26,0
61.5,1.4,21x20x24,0
170.6,4.1,23x12x29,0
313.4,5.3,32x23x19,0
338.7,5.9,16x17x18,0
144.4,3.0,42x11x11,0
295.4,5.1,32x39x19,0
147.7,2.2,38x13x13,0
184.6,4.5,38x11x28,0
333.0,5.2,25x17x20,0
307.4,5.5,21x40x21,0
345.6,6.1,34x27x28,0
234.8,4.1,48x33x27,0
106.0,2.0,49x15x12,0
60.8,3.6,35x30x17,0
145.7,3.1,26x25x17,0
113.6,2.1,38x34x30,0
192.9,3.1,46x11x8,0
312.5,5.6,44x39x13,0
185.0,2.8,21x15x10,0
55.0,3.3,19x11x8,0
291.3,4.8,38x23x30,0
207.0,3.4,18x28x17,0
132.9,2.4,41x29x28,0
225.3,5.2,42x22x9,0
94.6,3.5,25x19x24,0
159.6,2.5,21x26x14,0
280.5,4.0,30x12x24,0
166.6,2.7,33x29x28,0
291.1,3.8,40x35x18,0
204.3,3.5,30x28x29,0
243.5,4.5,16x22x22,0
181.8,4.0,50x17x14,0
138.2,3.0,15x39x19,0
191.5,2.8,46x10x17,0
348.2,5.7,40x27x13,0
186.4,3.9,23x40x30,0
217.6,3.1,43x30x11,0
323.7,6.2,19x11x22,0
234.1,3.9,45x31x21,0
139.2,4.0,45x40x18,0
308.2,5.3,31x17x29,0
109.1,2.7,34x23x22,0
53.7,2.2,35x28x17,0
278.4,5.4,32x20x17,0
165.3,2.9,46x25x12,0
182.7,4.4,45x19x12,0
314.9,5.2,39x30x27,0
343.8,4.4,24x18x26,0
281.3,5.3,39x24x28,0
110.2,2.7,26x26x14,1
195.6,4.5,45x23x19,0
340.9,4.8,45x19x28,0
133.4,3.1,34x22x21,1
210.8,4.7,17x12x8,0
138.3,3.5,37x30x20,0
301.7,4.2,48x20x15,0
229.9,5.2,32x13x8,0
67.3,2.3,43x31x21,0
166.9,3.8,18x31x14,0
280.6,5.2,21x37x12,0
78.7,1.9,49x12x21,0
121.6,2.7,27x36x17,0
120.3,2.1,30x39x12,0
248.7,5.2,44x17x27,0
164.8,4.3,16x13x9,0
80.3,1.4,29x10x16,0
235.4,4.2,48x13x15,0
177.8,2.9,48x35x19,0
347.2,4.7,45x10x25,0
114.8,3.0,24x29x11,0
337.9,4.1,39x38x12,0
63.6,3.4,45x15x10,1
111.9,2.6,47x34x9,0
214.5,4.7,24x18x23,0
160.1,3.0,48x40x12,0
51.6,2.7,49x32x25,0
276.5,4.8,22x19x8,0
263.3,4.4,29x12x30,0
64.2,1.6,15x37x16,0
326.5,4.2,49x19x24,0
127.1,2.8,45x26x19,0
216.0,3.5,15x24x13,0
275.5,5.2,26x15x22,0
221.6,3.7,18x34x24,0
290.2,3.9,31x31x22,0
173.2,4.4,49x31x16,0
102.3,2.4,33x21x21,0
256.5,3.1,17x15x13,0
122.9,2.8,46x30x29,0
320.0,4.3,37x12x9,0
60.7,3.2,22x10x14,0
245.3,4.4,44x14x8,0
94.6,2.0,43x33x16,0
191.7,3.6,38x31x25,0
63.0,1.4,21x27x21,0
206.8,3.7,37x19x20,0
115.2,2.5,34x28x9,0
98.8,3.8,15x19x8,0
245.0,3.9,28x27x8,0
290.9,4.7,38x23x8,0
183.0,4.2,21x12x10,0
237.9,4.9,47x31x16,0
207.8,4.2,40x10x26,0
66.3,1.2,21x12x22,0
114.8,3.2,41x16x26,0
295.2,4.1,34x29x11,0
324.1,5.4,50x18x27,0
305.7,5.9,16x37x10,0
118.6,2.7,31x20x13,0
245.9,3.2,23x15x27,0
57.6,1.2,40x23x24,0
325.8,4.9,28x32x24,0
109.3,3.6,23x24x30,0
328.4,5.8,31x32x17,0
287.6,5.6,47x21x20,0
322.2,5.4,23x12x19,1
120.6,2.1,22x23x27,0
226.9,3.4,29x30x19,0
287.6,3.8,37x39x8,0
235.5,4.8,32x38x16,1
322.9,5.0,30x40x16,0
255.8,5.5,19x40x13,0
181.8,4.3,42x19x13,0
108.6,2.1,19x32x13,0
166.0,2.6,45x12x16,1
230.2,4.8,21x10x25,0
191.0,2.8,41x10x27,0
109.3,2.6,32x26x28,0
248.4,4.3,46x22x20,0
184.2,4.4,38x17x12,0
268.4,3.7,45x16x17,0
312.5,4.7,39x21x21,1
81.8,1.5,41x40x11,0
138.9,2.7,27x26x8,0
176.2,4.3,41x21x29,0
73.7,3.3,23x20x30,0
130.7,2.4,48x31x25,0
320.8,4.6,43x31x19,0
245.2,3.5,35x35x14,0
295.7,4.9,19x32x10,0
276.7,4.3,47x37x8,0
55.1,3.4,17x17x12,0
321.1,4.9,29x14x8,0
253.5,3.1,33x35x18,0
139.9,4.2,41x33x18,0
118.0,2.7,34x16x9,0
269.3,5.3,19x28x12,0
286.3,3.7,15x11x20,0
289.5,3.4,33x14x8,0
156.2,2.9,36x28x15,0
191.8,4.5,26x24x25,0
233.2,4.1,17x40x27,0
103.1,1.6,25x21x21,0
341.7,6.2,39x40x19,0
264.3,5.4,26x29x26,0
304.4,5.1,20x21x11,0
150.4,3.5,20x26x20,0
328.8,5.8,37x29x30,0
127.5,3.6,44x10x25,0
203.7,4.0,25x17x25,0
164.4,4.6,40x18x19,0
66.5,1.7,24x16x23,0
81.2,2.1,28x27x14,0
312.5,4.9,32x16x17,0
337.9,3.9,21x27x18,0
83.8,3.1,18x18x12,0
231.4,4.4,23x23x18,0
256.3,3.2,31x11x28,0
125.7,3.2,16x38x29,0
69.0,1.4,18x10x27,1
123.3,3.7,44x13x17,0
121.4,2.7,34x24x21,0
167.2,2.6,28x36x25,0
311.9,4.0,28x25x18,0
271.3,4.2,50x39x26,0
171.8,4.6,43x16x14,0
65.6,2.5,42x23x10,0
217.8,4.8,28x33x9,0
245.1,5.1,47x37x11,0
261.8,4.2,43x30x29,0
74.3,2.8,23x34x21,0
293.5,4.8,46x10x14,0
121.1,4.0,21x33x15,0
91.5,3.5,19x25x8,0
106.1,4.0,29x17x8,0
319.2,4.0,37x31x22,0
241.6,3.1,43x34x24,0
267.4,4.5,34x19x16,0
124.0,3.8,20x16x26,0
249.8,4.0,47x10x23,0
241.9,4.8,22x32x28,0
346.2,6.3,25x23x22,0
96.5,1.5,23x24x25,0
87.3,2.7,15x39x15,0
181.0,2.9,49x37x13,0
84.9,2.7,20x13x12,0
268.9,4.5,26x13x27,0
74.8,1.4,30x17x26,0
173.1,4.1,16x35x15,0
194.6,4.6,26x27x11,0
79.0,2.2,49x15x9,0
109.6,4.0,15x20x28,0
132.3,4.1,24x22x15,0
204.3,3.2,47x21x25,0
339.7,6.0,34x23x26,0
189.1,4.6,20x23x24,0
265.2,4.4,16x16x25,0
170.5,4.5,26x33x18,0
89.2,2.7,49x32x30,0
349.1,4.6,40x35x21,0
349.6,4.4,46x26x30,0
61.7,1.9,39x21x25,0
230.1,4.0,17x18x19,0
73.8,1.8,15x25x17,0
237.8,4.3,22x16x28,0
182.5,3.2,19x27x17,0
338.7,5.6,28x28x11,0
95.1,2.0,46x36x16,0
128.0,3.1,41x10x30,0
283.8,4.7,15x37x28,0
203.3,3.4,20x13x14,0
168.0,3.0,42x33x14,0
337.9,4.1,25x25x21,1
171.2,3.9,47x35x16,0
287.2,4.1,30x21x13,0
306.9,4.4,29x29x18,0
296.4,5.3,38x38x26,0
183.9,2.4,40x25x9,0
177.4,3.1,34x31x14,0
268.1,4.1,40x32x13,1
265.7,3.8,16x38x18,0
322.2,3.8,41x17x10,0
69.7,3.5,22x35x23,0
258.7,5.6,37x23x29,0
106.4,2.5,36x27x19,0
150.5,2.3,47x15x20,0
182.9,3.5,44x36x14,0
261.2,5.5,42x16x28,0
113.7,2.0,23x24x23,0
264.1,5.1,30x35x10,0
107.1,2.8,23x25x13,0
286.6,4.9,46x33x23,0
60.3,3.0,32x16x24,0
238.9,5.1,46x29x18,0
107.3,1.7,19x34x12,0
262.8,5.3,23x16x30,0
330.7,4.4,16x33x27,0
250.2,5.1,32x29x24,0
260.6,3.4,44x25x17,0
122.6,3.5,43x31x19,0
77.0,2.6,24x30x17,0
293.6,4.1,42x35x28,0
123.8,3.4,50x38x8,0
120.7,2.8,25x40x15,0
322.0,5.4,37x19x27,0
314.5,4.2,35x18x13,0
247.1,3.3,36x10x18,0
234.1,4.1,49x33x21,0
313.3,4.6,24x20x17,0
82.5,2.1,25x21x27,0
91.6,1.8,34x24x20,0
124.4,4.0,20x11x14,0
298.2,3.7,42x20x30,0
158.7,4.4,18x29x18,0
183.9,2.7,15x37x27,0
208.6,3.1,19x25x14,0
290.7,4.0,16x11x20,0
81.1,3.6,30x33x15,0
184.4,3.6,48x29x9,0
66.8,3.2,47x40x29,0
64.9,2.5,20x25x12,0
348.7,6.1,19x29x14,0
124.1,1.8,44x39x27,0
55.3,1.8,41x31x17,0
207.5,2.8,17x28x17,0
117.4,1.8,41x32x8,0
93.5,3.6,16x24x24,0
336.6,5.9,44x15x15,0
119.6,2.8,17x27x19,0
123.9,3.2,50x16x12,1
328.9,6.0,46x24x26,0
279.0,4.9,47x16x13,1
128.5,3.5,34x21x30,1
54.7,2.0,30x22x21,0
127.9,2.8,31x13x28,0
228.7,3.7,34x19x20,0
199.2,2.5,42x35x19,0
222.3,4.0,46x24x20,0
210.3,4.0,30x20x28,0
302.4,4.3,50x24x25,0
195.4,4.6,42x13x26,0
275.4,5.3,23x13x18,0
185.7,3.3,43x33x15,0
175.4,3.6,23x15x11,0
325.8,4.8,49x26x25,0
240.8,4.6,27x13x13,0
76.0,1.8,43x31x23,0
257.5,4.1,33x21x24,0
108.1,3.1,23x22x27,0
58.1,1.5,33x19x9,0
256.0,4.9,20x40x21,0
246.9,3.7,38x36x30,0
241.7,4.1,23x26x18,0
238.4,3.2,44x39x8,0
257.5,5.4,41x22x10,0
101.8,3.7,32x20x24,0
100.4,3.9,30x27x17,0
135.3,4.1,29x35x26,0
296.3,4.5,43x23x8,0
301.6,5.4,45x27x10,0
188.8,3.9,38x40x30,0
273.3,3.7,19x32x10,0
195.3,2.9,32x10x27,0
217.9,3.5,19x23x19,0
161.3,2.7,30x18x11,0
182.7,3.4,26x10x18,0
100.5,3.8,25x23x18,0
203.5,4.6,41x32x10,0
291.5,4.8,33x34x28,0
156.1,3.7,45x27x8,0
62.7,2.5,31x16x13,0
320.8,3.8,18x25x29,0
143.3,3.7,40x17x10,0
246.6,3.8,19x11x14,0
189.1,4.2,36x30x17,0
111.2,4.1,37x26x29,0
217.9,4.5,44x11x11,0
326.8,5.0,40x17x24,0
283.7,5.8,33x16x11,0
124.7,2.4,27x13x28,0
162.4,2.6,36x22x15,0
344.8,5.7,17x22x23,0
212.1,2.9,29x12x10,0
191.1,2.8,27x19x9,0
260.9,3.3,50x11x8,0
103.9,1.6,33x34x30,0
263.4,4.5,30x32x22,0
116.9,1.8,27x13x27,0
188.5,3.9,19x22x30,0
218.0,5.2,40x37x8,0
64.8,2.2,22x12x17,0
104.5,3.8,34x31x8,1
133.9,2.4,30x26x10,0
333.3,5.8,45x13x29,0
148.6,4.1,39x13x28,0
271.5,4.5,36x11x28,0
183.0,2.5,28x11x21,0
324.4,3.8,21x27x14,0
257.7,3.8,48x13x15,0
325.0,5.8,32x11x26,0
95.5,1.8,15x11x9,0
114.1,3.9,47x39x22,1
343.6,5.6,25x27x13,0
79.6,3.5,49x20x15,0
87.1,3.5,30x15x9,0
236.0,4.7,42x29x15,0
320.5,4.6,29x26x22,0
335.7,5.4,23x12x18,0
228.4,4.5,37x32x19,0
301.8,5.5,29x33x11,0
78.9,3.4,33x30x8,0
262.1,3.8,42x25x18,0
134.5,3.7,26x15x16,0
188.3,3.1,43x20x13,0
89.4,1.5,27x25x19,0
207.1,4.4,30x22x24,0
219.8,4.1,15x26x16,0
61.7,3.4,16x22x19,0
287.2,4.1,33x11x25,0
281.8,3.8,17x34x22,0
166.0,3.2,43x34x14,0
344.6,4.7,48x38x20,0
238.1,5.1,32x22x9,0
132.6,3.6,43x33x21,0
120.4,3.4,17x33x22,0
231.9,3.3,34x16x12,0
153.4,3.0,44x32x28,0
326.6,4.9,24x18x17,1
337.9,4.1,19x13x18,0
140.4,2.3,46x11x25,0
59.6,1.6,30x26x23,0
319.3,5.6,50x21x12,0
152.8,3.3,15x19x11,0
97.0,2.8,16x34x8,0
293.0,4.3,15x10x11,0
140.5,2.8,19x20x11,0
205.5,2.7,46x31x9,0
101.4,2.1,18x13x17,0
217.6,3.9,21x37x13,0
131.4,2.4,28x38x12,0
140.0,3.5,39x20x12,0
105.0,1.8,25x26x16,0
321.3,4.7,26x29x12,0
336.1,6.2,29x11x19,0
275.4,3.7,26x28x17,0
247.6,3.0,43x36x24,0
76.7,2.5,29x25x29,1
231.9,4.2,15x37x14,0
245.6,4.8,44x19x18,0
316.7,5.1,42x35x23,0
104.6,3.1,48x19x15,0
166.6,3.2,39x23x11,0
244.8,4.3,44x13x29,0
153.8,3.7,41x25x17,0
119.5,1.9,39x30x21,0
272.6,5.4,23x29x14,0
110.1,3.7,38x39x24,0
220.3,4.2,39x19x8,0
279.7,4.2,45x15x9,0
342.8,4.4,39x19x21,0
85.9,1.9,21x18x20,0
141.9,3.2,22x35x29,0
253.7,5.1,20x11x19,0
58.0,3.4,17x13x27,0
276.2,4.5,30x19x30,0
52.6,2.7,31x22x18,0
166.9,3.5,47x37x12,0
318.7,4.3,32x19x28,0
193.0,4.4,35x27x16,0
107.1,2.6,21x22x13,0
81.2,2.6,36x27x12,0
296.8,3.7,36x23x23,0
336.5,4.3,19x10x11,0
68.9,3.3,42x40x11,0
129.4,3.6,39x22x22,0
165.6,3.5,28x20x13,0
185.9,3.1,42x30x10,0
58.3,2.2,32x31x28,0
114.8,3.2,35x17x28,0
65.6,3.6,30x14x17,0
123.3,3.9,21x18x27,0
79.0,3.1,15x12x11,0
190.2,4.2,15x14x20,0
142.1,2.9,39x13x8,0
83.6,2.5,22x39x24,0
71.4,2.8,20x32x23,0
262.5,5.2,50x38x10,0
192.6,3.7,33x18x25,0
118.1,2.2,32x17x23,0
300.8,4.4,23x31x25,1
304.4,3.7,25x27x29,0
59.4,1.5,30x12x9,1
62.4,1.3,22x25x11,0
332.7,5.0,49x12x21,0
250.3,3.7,29x20x16,0
300.1,4.1,35x18x13,0
332.6,4.3,40x37x25,0
129.3,2.6,37x24x21,0
141.2,2.3,18x28x16,0
87.4,3.6,39x23x21,0
63.1,2.2,42x14x8,0
112.2,3.6,45x22x19,0
226.6,2.9,33x18x20,0
66.2,1.4,37x26x8,0
299.0,4.5,39x26x25,0
345.5,4.8,28x28x16,0
297.4,5.8,38x39x10,0
271.9,3.5,21x38x25,0
202.3,4.5,16x12x26,0
144.9,2.2,15x36x17,0
159.3,2.5,15x34x27,0
299.3,4.9,33x34x16,0
306.7,4.5,31x37x21,0
313.8,4.6,31x17x29,0
251.2,3.8,30x19x22,0
153.1,2.0,33x36x10,0
238.5,3.4,46x19x26,0
271.4,5.6,41x33x21,0
152.4,3.2,47x12x28,0
218.3,3.3,21x14x23,0
319.4,3.9,41x28x30,0
254.1,4.1,47x30x19,0
315.0,6.0,22x23x23,0
154.9,2.6,25x39x29,0
282.3,3.6,22x32x28,0
318.6,3.8,25x38x19,0
199.7,4.2,22x10x14,0
57.6,1.8,18x13x16,0
262.6,3.6,40x36x23,0
275.5,4.3,16x15x16,0
349.4,5.0,41x18x9,0
201.5,3.0,37x36x18,0
163.3,2.8,24x21x11,0
240.2,3.5,22x25x18,0
136.2,2.5,18x39x8,0
61.7,1.8,48x11x30,0
191.1,4.4,46x37x10,0
175.6,4.3,50x24x24,0
341.7,4.1,34x28x25,0
53.1,2.2,22x32x11,0
288.0,5.3,32x33x24,0
174.0,3.0,30x23x13,0
71.2,3.7,18x13x13,0
213.5,3.5,36x14x10,0
264.9,5.4,40x17x29,0
76.3,3.3,46x16x9,0
315.7,4.1,28x40x27,0
293.6,5.3,42x14x13,0
314.3,6.0,41x39x24,1
230.3,5.1,16x17x28,0
206.4,4.4,31x26x13,0
57.5,2.8,36x13x24,0
127.0,3.6,26x24x11,0
340.1,4.7,15x28x15,0
230.3,3.0,18x31x10,0
211.0,3.0,36x34x27,0
165.6,4.1,16x39x14,0
345.6,5.4,43x38x13,0
140.1,3.1,50x31x12,0
288.5,4.4,35x14x30,0
58.0,2.6,47x31x27,0
172.7,3.2,32x28x25,0
319.7,5.7,27x18x23,0
316.8,4.4,33x31x27,0
243.8,4.8,18x23x28,0
232.9,4.4,17x39x21,0
188.7,3.0,42x15x8,0
336.5,5.9,48x13x12,0
260.0,3.7,44x22x16,1
77.0,3.1,27x36x8,0
241.0,5.3,30x40x14,0
328.7,4.0,41x39x27,0
240.1,4.3,33x18x20,0
301.0,6.0,39x38x14,0
155.9,2.1,37x27x25,0
189.1,2.7,30x28x20,0
63.8,3.2,27x20x14,0
345.6,6.2,47x38x29,0
210.5,4.4,30x27x25,0
82.8,3.1,18x16x23,0
283.6,5.1,24x29x24,0
113.4,3.3,31x31x15,0
290.8,4.4,24x10x22,0
311.4,4.2,24x17x15,0
336.2,4.2,37x11x20,0
308.0,5.3,23x18x8,0
136.6,3.5,50x20x10,0
138.4,3.1,49x13x24,0
259.7,5.4,26x13x14,0
106.1,3.5,41x12x27,0
117.1,3.9,18x38x18,0
231.0,3.9,23x39x25,0
228.9,4.9,38x30x17,0
201.2,4.3,24x30x26,0
236.0,4.5,17x32x15,0
179.0,2.9,25x21x19,0
150.9,3.1,41x20x17,0
165.6,3.7,25x39x21,0
279.5,3.4,46x37x19,0
230.5,3.0,29x31x17,0
126.4,2.0,32x24x14,0
205.9,2.9,23x39x9,0
62.8,1.5,20x22x24,0
209.9,4.9,17x14x21,0
242.0,4.1,34x33x14,0
276.4,4.9,23x37x30,0
237.5,3.3,47x23x27,0
84.3,2.5,50x40x18,0
219.2,4.3,19x35x12,0
91.3,3.6,16x39x10,0
145.8,2.9,17x24x29,0
150.9,4.0,34x21x10,0
91.7,3.1,27x35x15,0
222.9,5.1,19x13x12,0
199.0,3.1,16x22x23,0
206.1,2.6,30x11x19,0
144.3,2.0,42x29x15,0
50.2,2.8,25x15x16,0
300.8,5.8,19x10x23,0
342.4,4.3,18x11x30,0
233.8,3.0,42x15x13,1
52.8,3.0,42x23x19,0
202.7,3.0,26x21x25,0
135.3,2.4,45x22x15,0
348.8,5.7,35x31x21,0
306.0,5.2,44x22x17,0
314.6,4.3,23x39x19,0
260.1,5.4,37x34x27,0
112.6,3.0,20x17x24,0
269.9,4.5,23x21x9,0
231.8,3.7,27x39x24,0
205.6,2.9,36x33x13,0
162.3,3.5,16x18x20,0
309.4,4.4,32x22x12,0
272.6,5.3,28x33x23,0
138.9,3.2,21x10x11,0
81.0,3.5,44x38x13,0
327.7,5.2,37x14x9,0
270.4,4.1,36x18x20,0
245.8,4.2,31x34x15,0
331.4,5.5,50x37x21,0
273.5,4.4,45x35x28,0
100.3,3.4,49x36x19,0
121.0,2.7,22x27x15,0
267.7,4.1,19x32x30,0
223.0,3.1,18x16x11,0
104.0,3.6,46x32x27,0
339.1,6.2,25x28x23,0
340.1,6.4,35x32x29,0
144.1,3.5,45x13x23,0
63.4,1.7,17x35x29,0
146.6,4.0,25x40x10,0
269.6,5.2,19x28x20,0
111.2,2.5,45x17x24,0
191.2,3.4,50x19x26,0
174.2,4.2,15x18x25,0
277.6,4.9,18x22x11,0
107.9,4.0,37x28x23,0
91.0,2.4,26x16x19,0
229.7,5.0,31x15x9,0
346.8,4.4,47x24x28,0
53.1,1.1,24x19x13,0
275.0,4.4,29x40x23,0
192.2,2.8,40x10x16,0
66.2,3.1,44x35x15,0
106.6,3.4,19x35x19,0
79.8,1.3,35x40x27,0
254.7,5.5,35x15x15,0
122.1,3.7,50x13x28,0
346.3,5.3,25x10x17,0
276.6,5.6,49x26x28,0
76.6,2.1,20x13x30,0
331.7,5.8,37x10x18,0
192.0,2.8,24x21x30,0
332.9,5.5,30x10x15,0
327.2,4.0,45x21x30,0
98.6,3.4,31x29x13,0
174.2,3.8,27x39x13,0
77.3,2.2,28x23x11,0
90.4,1.8,16x39x9,0
159.7,4.5,19x34x24,1
93.4,3.9,48x23x23,0
75.2,1.4,23x22x29,0
348.6,5.6,42x37x15,0
315.9,6.1,24x22x22,0
146.0,3.2,32x35x10,0
235.2,5.1,15x26x20,0
56.6,2.5,28x33x18,0
140.3,2.7,40x20x13,0
327.4,4.5,22x18x29,0
174.8,4.1,41x13x24,0
92.2,1.8,40x18x9,0
