ShipmentID,OrderID,CustomerID,Origin,Destination,Carrier,RouteID,PlannedShipDate,ActualShipDate,PlannedDeliveryDate,ActualDeliveryDate,Status,ShipmentType,Weight,Volume,Dimensions,DelayFlag,DisruptionReason,Weather,Traffic,PublicEvent,VehicleID,EngineHours,Mileage,FuelConsumption,GPS,Temperature,Vibration,MaintenanceDate,MaintenanceType,BreakdownFlag,PackageImage,ImageLabel,IncidentFlag,AnomalyFlag
1013,5013,C619,Boston,San Francisco,FedEx,R8,2025-05-22,2025-05-23,2025-05-24,2025-05-24,Delivered,Fragile,183.2,4.8,27x25x17,0,,Storm,Moderate,Strike,V015,4041,80694,6.1,"52.0574,168.2219;85.4385,-137.9364",15,0.05,2025-05-10,Brake Check,0,package_1013_before.jpg,OK,0,0
1014,5014,C687,Detroit,Orlando,UPS,R2,2025-05-25,2025-05-26,2025-06-01,2025-06-01,Delivered,Express,150.0,3.2,38x35x18,0,,Sunny,Moderate,None,V006,4534,42385,7.3,"60.1215,17.7458;36.0365,-177.1264",25,0.04,2025-04-26,Brake Check,0,package_1014_before.jpg,OK,0,0
1015,5015,C883,Chicago,Denver,FedEx,R2,2025-05-13,2025-05-13,2025-05-16,2025-05-18,Disrupted,Fragile,262.2,4.3,17x11x9,1,Weather Delay,Rain,Severe,Holiday,V008,3734,78998,11.4,"6.8633,-48.0371;46.8953,-30.314",26,0.04,2025-05-11,Inspection,0,package_1015_before.jpg,Damaged,0,0
1016,5016,C818,Detroit,Las Vegas,FedEx,R3,2025-05-31,2025-05-31,2025-06-02,2025-06-02,Delayed,Express,246.0,4.3,23x21x11,1,,Cloudy,High,Holiday,V030,7396,44731,10.2,"54.8179,-179.3395;-61.2483,-173.5358",27,0.05,2025-05-23,Inspection,0,package_1016_before.jpg,OK,0,0
1017,5017,C260,Dallas,Orlando,FedEx,R14,2025-05-13,2025-05-13,2025-05-16,2025-05-18,Delayed,Standard,316.5,6.1,44x35x26,1,,Sunny,Moderate,Holiday,V017,6461,70976,8.7,"48.5403,176.484;-33.1778,75.7066",18,0.02,2025-04-29,Battery Replacement,0,package_1017_before.jpg,OK,0,0
1018,5018,C279,Dallas,Austin,FedEx,R1,2025-05-08,2025-05-08,2025-05-14,2025-05-14,Disrupted,Fragile,88.4,3.3,22x39x18,1,Weather Delay,Sunny,Moderate,None,V001,2631,147229,6.3,"44.9077,-68.9;-70.0894,-48.9079",15,0.04,2025-05-07,Battery Replacement,0,package_1018_before.jpg,Damaged,0,0
1019,5019,C178,Houston,Orlando,UPS,R5,2025-05-27,2025-05-27,2025-05-28,2025-05-28,Delivered,Standard,60.9,2.0,21x13x18,0,,Storm,Moderate,Strike,V006,5425,94616,6.2,"46.2183,-25.7322;56.4349,-21.0188",30,0.03,2025-05-10,Inspection,0,package_1019_before.jpg,OK,0,0
1020,5020,C465,Chicago,Miami,UPS,R1,2025-05-27,2025-05-28,2025-06-01,2025-06-01,Delivered,Fragile,281.8,4.0,45x22x20,0,,Cloudy,Severe,Holiday,V029,1022,20247,8.7,"-82.8348,-157.774;6.9439,-44.6093",26,0.03,2025-05-18,Oil Change,0,package_1020_before.jpg,Damaged,0,0
1021,5021,C486,Dallas,Denver,UPS,R6,2025-05-19,2025-05-19,2025-05-22,2025-05-22,Delivered,Standard,217.8,3.3,35x26x21,0,,Storm,Low,Strike,V010,4504,99943,9.1,"-48.794,-36.0271;62.0554,31.4578",24,0.06,2025-05-18,Oil Change,0,package_1021_before.jpg,Damaged,0,0
1022,5022,C353,Miami,Los Angeles,UPS,R8,2025-05-22,2025-05-22,2025-05-25,2025-05-26,Delivered,Express,302.0,5.7,45x19x27,0,,Rain,Moderate,None,V029,6957,76752,8.6,"-86.1938,-171.6939;81.1323,-16.1232",23,0.02,2025-05-07,Brake Check,0,package_1022_before.jpg,OK,0,0
1023,5023,C331,Miami,Phoenix,DHL,R20,2025-05-09,2025-05-09,2025-05-13,2025-05-13,Delayed,Express,125.1,3.8,16x40x15,1,,Storm,Low,None,V029,4694,131603,8.5,"-70.535,59.7823;46.3699,-45.4257",21,0.03,2025-04-25,Inspection,0,package_1023_before.jpg,Damaged,0,0
1024,5024,C225,Detroit,Houston,DHL,R13,2025-05-29,2025-05-29,2025-05-31,2025-05-31,Delivered,Express,241.6,4.0,37x15x15,0,,Clear,Moderate,Strike,V029,1406,75120,9.5,"-79.4495,123.0448;-28.1191,107.9322",22,0.03,2025-05-22,Brake Check,0,package_1024_before.jpg,OK,0,0
1025,5025,C264,Atlanta,Miami,DHL,R5,2025-05-17,2025-05-17,2025-05-22,2025-05-23,Delivered,Standard,185.7,3.9,35x13x9,0,,Cloudy,Low,Strike,V018,4764,122007,8.0,"5.0926,-171.1951;28.6386,62.3573",17,0.02,2025-04-24,Filter Change,0,package_1025_before.jpg,Damaged,0,0
1026,5026,C648,Chicago,Phoenix,DHL,R9,2025-05-11,2025-05-12,2025-05-16,2025-05-16,Delayed,Express,111.5,2.6,37x30x27,1,,Rain,Low,None,V013,1553,115128,5.4,"39.7226,36.4479;33.5048,-164.2348",28,0.09,2025-04-28,Brake Check,0,package_1026_before.jpg,Damaged,0,0
1027,5027,C556,Philadelphia,San Francisco,UPS,R14,2025-05-30,2025-05-30,2025-06-01,2025-06-03,Delivered,Standard,332.5,4.4,40x18x9,0,,Storm,Low,Holiday,V005,1091,101589,11.9,"55.1214,9.9515;28.2649,-11.0183",15,0.08,2025-05-20,Battery Replacement,0,package_1027_before.jpg,Damaged,0,0
1028,5028,C403,Houston,Orlando,DHL,R16,2025-05-12,2025-05-12,2025-05-17,2025-05-17,Delivered,Standard,129.7,3.7,40x29x12,0,,Sunny,Low,Strike,V006,5346,33432,5.4,"33.5146,75.0432;42.2952,-24.7965",22,0.09,2025-05-03,Inspection,0,package_1028_before.jpg,OK,0,0
1029,5029,C107,Houston,Miami,DHL,R1,2025-05-27,2025-05-28,2025-06-01,2025-06-01,Delivered,Express,298.7,3.9,17x14x9,0,,Rain,High,Strike,V012,5229,125522,6.3,"49.4846,-43.1734;-51.3823,-46.2359",28,0.06,2025-05-19,Filter Change,0,package_1029_before.jpg,Damaged,0,0
1030,5030,C419,Miami,Miami,FedEx,R6,2025-05-02,2025-05-02,2025-05-08,2025-05-08,Delivered,Fragile,139.1,4.3,28x36x16,0,,Clear,Moderate,Strike,V019,1086,88307,11.1,"48.9395,-161.167;30.098,-160.4416",30,0.1,2025-04-03,Filter Change,0,package_1030_before.jpg,Damaged,0,1
1031,5031,C687,Detroit,Austin,DHL,R16,2025-05-31,2025-05-31,2025-06-05,2025-06-05,Delivered,Express,306.1,3.7,44x34x28,0,,Rain,Low,Holiday,V002,7687,102509,4.6,"4.0764,-78.417;82.1131,-2.2449",18,0.06,2025-05-04,Oil Change,0,package_1031_before.jpg,Damaged,0,1
1032,5032,C916,Houston,Austin,DHL,R3,2025-05-30,2025-05-30,2025-05-31,2025-05-31,Delayed,Standard,212.3,5.1,27x36x19,1,,Storm,High,Holiday,V005,2066,108635,7.3,"87.5918,-82.5705;-11.3216,-11.842",21,0.06,2025-05-23,Battery Replacement,0,package_1032_before.jpg,Damaged,0,0
1033,5033,C210,Houston,San Francisco,DHL,R1,2025-05-19,2025-05-19,2025-05-22,2025-05-22,Delayed,Fragile,104.9,3.3,15x30x22,1,,Storm,High,None,V010,7584,43277,5.0,"-20.0531,-11.0889;71.1872,152.5099",16,0.05,2025-05-03,Filter Change,1,package_1033_before.jpg,OK,0,0
1034,5034,C682,Detroit,Los Angeles,DHL,R20,2025-05-21,2025-05-22,2025-05-25,2025-05-25,Disrupted,Express,254.6,4.0,37x33x22,1,Weather Delay,Sunny,High,Strike,V027,4858,102464,5.0,"50.9242,79.3184;-44.775,-107.5805",30,0.04,2025-05-16,Filter Change,0,package_1034_before.jpg,Damaged,0,0
1035,5035,C343,Atlanta,Houston,UPS,R15,2025-05-10,2025-05-10,2025-05-11,2025-05-11,Delivered,Express,116.2,3.0,43x13x30,0,,Cloudy,High,Holiday,V016,3867,78665,8.0,"-29.9815,41.7876;-73.6423,-168.4857",22,0.06,2025-04-22,Inspection,0,package_1035_before.jpg,Damaged,0,0
1036,5036,C396,San Diego,Las Vegas,DHL,R4,2025-05-06,2025-05-06,2025-05-09,2025-05-09,Delayed,Standard,114.7,2.7,48x40x28,1,,Clear,Low,Holiday,V009,1955,34041,9.7,"19.6708,-75.5152;84.4881,-150.6277",23,0.09,2025-04-11,Filter Change,0,package_1036_before.jpg,OK,0,0
1037,5037,C626,New York,Los Angeles,FedEx,R9,2025-05-26,2025-05-26,2025-05-29,2025-05-29,Delivered,Fragile,173.5,2.6,30x19x15,0,,Sunny,Severe,None,V028,5615,75117,8.2,"-58.9601,105.7543;49.2875,61.9726",23,0.08,2025-05-06,Brake Check,0,package_1037_before.jpg,Damaged,0,0
1038,5038,C609,Dallas,Orlando,FedEx,R17,2025-05-04,2025-05-04,2025-05-07,2025-05-09,Delivered,Express,223.9,4.9,45x11x17,0,,Sunny,Low,Strike,V003,2063,75036,8.7,"59.2798,-136.3921;-30.3545,63.2144",22,0.1,2025-04-27,Oil Change,0,package_1038_before.jpg,Damaged,0,0
1039,5039,C946,Miami,Austin,DHL,R15,2025-05-19,2025-05-19,2025-05-20,2025-05-20,Delivered,Standard,198.6,4.9,46x31x20,0,,Sunny,Severe,Holiday,V024,5206,145382,8.7,"-27.8907,-55.513;59.0549,-118.2128",25,0.03,2025-05-16,Inspection,0,package_1039_before.jpg,Damaged,0,0
1040,5040,C183,New York,Las Vegas,UPS,R19,2025-05-30,2025-05-30,2025-06-04,2025-06-04,Delivered,Express,148.6,2.3,29x38x21,0,,Clear,High,Holiday,V023,7884,37616,10.9,"-9.6533,76.6885;-53.9891,-15.4697",21,0.04,2025-05-13,Oil Change,0,package_1040_before.jpg,OK,0,0
1041,5041,C673,New York,Houston,FedEx,R5,2025-05-05,2025-05-05,2025-05-08,2025-05-08,Delivered,Fragile,60.7,1.9,34x21x15,0,,Rain,Low,Strike,V029,3007,145351,7.0,"45.6992,52.345;77.2979,-175.2042",17,0.07,2025-04-24,Oil Change,0,package_1041_before.jpg,OK,0,1
1042,5042,C920,Philadelphia,Las Vegas,DHL,R1,2025-05-10,2025-05-10,2025-05-11,2025-05-12,Disrupted,Standard,176.7,4.7,38x13x20,1,Traffic Jam,Storm,Severe,Strike,V008,6871,52485,11.1,"-54.1745,-42.5665;74.9036,-157.4146",23,0.06,2025-04-24,Filter Change,1,package_1042_before.jpg,Damaged,0,0
1043,5043,C375,Philadelphia,Austin,DHL,R3,2025-05-07,2025-05-07,2025-05-09,2025-05-09,Disrupted,Standard,96.9,1.8,30x37x20,1,Weather Delay,Cloudy,Moderate,Holiday,V014,2826,35836,6.2,"-19.2568,96.3344;-57.1728,-69.075",19,0.03,2025-04-27,Battery Replacement,0,package_1043_before.jpg,Damaged,0,1
1044,5044,C454,Miami,Denver,UPS,R16,2025-05-24,2025-05-24,2025-05-25,2025-05-25,Delivered,Express,231.4,5.2,44x34x24,0,,Clear,Low,Strike,V023,6750,65755,11.0,"-77.4701,22.3555;-48.7038,-57.3624",20,0.09,2025-05-02,Brake Check,0,package_1044_before.jpg,OK,0,0
1045,5045,C898,Boston,Los Angeles,FedEx,R11,2025-05-06,2025-05-06,2025-05-12,2025-05-13,Delivered,Fragile,321.6,6.0,33x25x26,0,,Storm,Moderate,None,V021,5610,27071,9.9,"-60.775,-69.5479;-6.8881,76.5636",20,0.02,2025-04-13,Inspection,0,package_1045_before.jpg,OK,0,0
1046,5046,C555,Boston,San Francisco,UPS,R10,2025-05-08,2025-05-09,2025-05-15,2025-05-15,Delivered,Fragile,260.7,5.1,40x15x12,0,,Sunny,Low,Strike,V001,4974,111161,11.0,"-34.4637,-16.3513;-10.423,147.0615",16,0.07,2025-05-04,Oil Change,0,package_1046_before.jpg,Damaged,0,0
1047,5047,C948,Philadelphia,Los Angeles,DHL,R1,2025-05-15,2025-05-15,2025-05-16,2025-05-18,Disrupted,Fragile,101.7,2.3,20x38x15,1,Traffic Jam,Cloudy,Low,Holiday,V016,2260,90393,7.7,"73.7724,121.3883;-85.7135,72.7392",27,0.01,2025-04-19,Battery Replacement,0,package_1047_before.jpg,Damaged,0,0
1048,5048,C828,Houston,Houston,FedEx,R20,2025-05-13,2025-05-13,2025-05-19,2025-05-19,Delayed,Fragile,86.5,2.4,47x38x10,1,,Sunny,Moderate,Strike,V002,7469,63004,11.9,"50.41,-107.1349;54.67,44.807",26,0.03,2025-05-12,Filter Change,0,package_1048_before.jpg,Damaged,0,0
1049,5049,C367,Houston,Denver,FedEx,R13,2025-05-06,2025-05-06,2025-05-08,2025-05-08,Delivered,Fragile,313.2,5.2,26x35x8,0,,Storm,Low,Strike,V025,2321,74380,10.8,"-36.4658,47.6401;22.4286,-138.2709",30,0.03,2025-04-06,Filter Change,0,package_1049_before.jpg,OK,0,0
1050,5050,C472,Miami,Austin,DHL,R6,2025-05-31,2025-06-01,2025-06-07,2025-06-09,Delayed,Standard,303.6,3.7,46x23x12,1,,Rain,Moderate,Holiday,V005,7104,119965,4.7,"-18.8873,-146.3071;-17.6161,13.5518",18,0.02,2025-05-07,Oil Change,0,package_1050_before.jpg,OK,0,0
1051,5051,C568,Boston,Austin,DHL,R8,2025-05-29,2025-05-29,2025-05-30,2025-05-30,Delivered,Standard,332.9,4.3,37x19x28,0,,Clear,High,None,V007,2814,24153,7.7,"-15.711,155.4835;14.8609,-125.4775",27,0.04,2025-05-06,Inspection,0,package_1051_before.jpg,Damaged,0,0
1052,5052,C316,Detroit,Seattle,UPS,R12,2025-05-03,2025-05-03,2025-05-04,2025-05-04,Delivered,Express,208.7,4.5,37x35x17,0,,Cloudy,Severe,None,V021,3322,90677,10.6,"-79.8222,-138.1797;66.261,-152.9803",29,0.01,2025-04-25,Inspection,0,package_1052_before.jpg,OK,1,0
1053,5053,C128,Houston,Phoenix,DHL,R14,2025-05-19,2025-05-19,2025-05-21,2025-05-21,Disrupted,Standard,252.7,5.2,16x11x10,1,Traffic Jam,Sunny,Low,Strike,V021,1449,80207,8.1,"34.5548,-65.5613;-81.8157,-156.4609",18,0.01,2025-05-09,Oil Change,0,package_1053_before.jpg,OK,0,0
1054,5054,C132,Houston,Austin,UPS,R13,2025-05-05,2025-05-05,2025-05-12,2025-05-12,Delivered,Express,119.6,2.0,47x24x27,0,,Sunny,Low,Strike,V017,6973,75898,5.9,"-40.1433,-179.6602;-15.4259,56.8731",24,0.09,2025-04-13,Oil Change,0,package_1054_before.jpg,OK,0,0
1055,5055,C784,Boston,Los Angeles,UPS,R20,2025-05-24,2025-05-24,2025-05-29,2025-05-29,Disrupted,Express,58.1,1.4,48x21x15,1,Traffic Jam,Clear,Moderate,Strike,V007,1483,81954,12.0,"2.8603,106.136;5.3169,113.8113",19,0.05,2025-04-27,Battery Replacement,0,package_1055_before.jpg,Damaged,0,0
1056,5056,C335,Miami,Orlando,UPS,R20,2025-05-12,2025-05-12,2025-05-17,2025-05-18,Delivered,Standard,273.8,5.6,50x32x21,0,,Rain,Low,Strike,V023,1472,143970,9.2,"-6.4039,172.0116;22.0606,-113.1168",17,0.06,2025-05-04,Filter Change,0,package_1056_before.jpg,OK,0,0
1057,5057,C937,Atlanta,Seattle,FedEx,R19,2025-05-18,2025-05-18,2025-05-20,2025-05-20,Delayed,Fragile,103.7,2.0,29x35x23,1,,Cloudy,Low,None,V011,4334,77981,6.3,"-49.3922,-64.996;34.0153,-81.9265",25,0.06,2025-05-08,Oil Change,0,package_1057_before.jpg,OK,0,0
1058,5058,C843,Houston,Denver,UPS,R4,2025-05-09,2025-05-09,2025-05-15,2025-05-17,Delivered,Express,76.9,2.0,19x17x12,0,,Cloudy,Severe,Strike,V018,5168,98864,9.3,"16.8241,-66.7782;-1.597,162.9128",16,0.07,2025-04-27,Brake Check,0,package_1058_before.jpg,OK,0,0
1059,5059,C438,Houston,Miami,DHL,R7,2025-05-06,2025-05-06,2025-05-10,2025-05-11,Delivered,Fragile,113.7,2.9,48x38x30,0,,Cloudy,High,None,V009,7108,86701,4.5,"70.9485,75.2866;-87.0671,-98.4544",17,0.02,2025-04-19,Filter Change,0,package_1059_before.jpg,OK,0,0
1060,5060,C765,San Diego,Austin,DHL,R20,2025-05-09,2025-05-09,2025-05-12,2025-05-12,Delivered,Fragile,91.8,3.7,46x25x21,0,,Rain,High,None,V020,2570,108712,11.3,"3.0216,13.9361;-69.0867,124.4943",28,0.04,2025-04-09,Battery Replacement,0,package_1060_before.jpg,Damaged,0,0
1061,5061,C420,Boston,San Francisco,FedEx,R7,2025-05-08,2025-05-08,2025-05-10,2025-05-11,Delivered,Express,177.9,3.4,50x14x28,0,,Cloudy,Low,None,V025,4775,110884,8.0,"-34.8044,121.3567;-25.2886,-162.6749",22,0.07,2025-04-14,Oil Change,0,package_1061_before.jpg,OK,0,0
1062,5062,C569,Boston,Austin,UPS,R1,2025-05-09,2025-05-09,2025-05-12,2025-05-14,Delayed,Express,236.6,4.9,31x40x22,1,,Storm,High,Strike,V002,1468,130775,10.1,"-35.2243,-55.323;-4.0253,4.5584",16,0.08,2025-04-18,Inspection,0,package_1062_before.jpg,OK,0,0
1063,5063,C966,Philadelphia,Austin,DHL,R8,2025-05-17,2025-05-18,2025-05-18,2025-05-18,Delivered,Fragile,65.1,3.5,25x28x16,0,,Rain,Low,None,V004,3171,38286,11.8,"-61.6768,91.8014;36.1825,72.7219",22,0.01,2025-04-19,Inspection,0,package_1063_before.jpg,Damaged,0,0
1064,5064,C676,Houston,Las Vegas,UPS,R10,2025-05-10,2025-05-11,2025-05-13,2025-05-13,Delivered,Standard,275.4,5.7,41x12x29,0,,Storm,High,None,V013,1224,135564,7.1,"37.7102,-3.3635;59.4594,-14.6322",20,0.1,2025-05-02,Battery Replacement,0,package_1064_before.jpg,Damaged,0,0
1065,5065,C173,San Diego,Los Angeles,FedEx,R18,2025-05-07,2025-05-07,2025-05-12,2025-05-12,Delivered,Fragile,63.5,3.5,49x29x29,0,,Cloudy,High,Strike,V018,4270,122471,9.2,"-83.4664,38.8649;-40.0397,-16.5563",19,0.08,2025-05-04,Oil Change,0,package_1065_before.jpg,OK,0,0
1066,5066,C195,Chicago,Los Angeles,FedEx,R3,2025-05-17,2025-05-17,2025-05-23,2025-05-25,Delivered,Standard,231.3,3.6,41x14x19,0,,Cloudy,Low,None,V023,3389,75244,9.4,"-17.6173,29.5362;89.3779,58.1397",22,0.04,2025-05-12,Inspection,0,package_1066_before.jpg,Damaged,0,0
1067,5067,C622,Miami,Seattle,UPS,R17,2025-05-11,2025-05-11,2025-05-12,2025-05-12,Disrupted,Fragile,200.4,4.0,41x10x25,1,Customs Issue,Rain,Low,None,V021,2307,54961,10.3,"25.6544,114.6997;31.519,-133.8897",17,0.1,2025-04-22,Filter Change,1,package_1067_before.jpg,Damaged,0,0
1068,5068,C705,New York,Orlando,DHL,R18,2025-05-20,2025-05-20,2025-05-27,2025-05-28,Delivered,Standard,163.2,3.9,21x28x30,0,,Clear,High,Strike,V024,3599,92150,7.2,"1.8158,-21.3634;-27.0884,-108.1132",23,0.02,2025-04-26,Battery Replacement,0,package_1068_before.jpg,OK,0,0
1069,5069,C878,Detroit,Los Angeles,UPS,R13,2025-05-03,2025-05-03,2025-05-04,2025-05-04,Delivered,Express,306.0,5.9,24x32x9,0,,Rain,High,None,V016,3340,107938,10.8,"-77.2774,57.5875;-83.0012,-141.9727",30,0.04,2025-05-02,Inspection,0,package_1069_before.jpg,OK,0,0
1070,5070,C831,Philadelphia,Orlando,FedEx,R7,2025-05-04,2025-05-04,2025-05-05,2025-05-06,Delivered,Fragile,331.6,4.4,39x33x26,0,,Sunny,High,Strike,V025,5780,40203,10.7,"68.3639,-130.0314;-78.7683,97.3161",27,0.06,2025-04-14,Battery Replacement,0,package_1070_before.jpg,OK,0,0
1071,5071,C850,San Diego,Phoenix,UPS,R5,2025-05-27,2025-05-27,2025-05-31,2025-06-02,Delivered,Express,342.5,6.1,26x16x11,0,,Clear,High,Holiday,V028,3011,65921,11.7,"-71.7699,166.3564;10.4437,152.1493",27,0.02,2025-05-21,Filter Change,0,package_1071_before.jpg,Damaged,0,0
1072,5072,C929,Miami,Houston,FedEx,R2,2025-05-21,2025-05-22,2025-05-26,2025-05-26,Delayed,Fragile,206.9,3.3,32x33x14,1,,Sunny,Moderate,Holiday,V008,6673,37287,7.7,"52.1432,16.6239;73.2289,4.7976",27,0.08,2025-05-14,Battery Replacement,0,package_1072_before.jpg,OK,0,0
1073,5073,C718,Houston,Los Angeles,DHL,R10,2025-05-30,2025-05-30,2025-06-05,2025-06-05,Delivered,Express,329.4,5.8,25x32x22,0,,Sunny,Moderate,None,V008,3216,134644,10.1,"20.0403,157.3537;-43.4489,38.3005",18,0.03,2025-05-09,Battery Replacement,0,package_1073_before.jpg,Damaged,0,0
1074,5074,C558,Dallas,San Francisco,UPS,R8,2025-05-10,2025-05-11,2025-05-15,2025-05-15,Delayed,Standard,126.4,3.4,18x32x23,1,,Rain,High,None,V022,5167,141326,5.3,"-25.0435,129.6403;20.0898,-96.8026",28,0.01,2025-04-29,Brake Check,0,package_1074_before.jpg,OK,0,0
1075,5075,C126,Boston,Las Vegas,DHL,R18,2025-05-08,2025-05-08,2025-05-12,2025-05-13,Delivered,Standard,218.4,5.0,44x21x9,0,,Clear,Moderate,Holiday,V008,2270,21064,6.7,"-4.909,-170.8753;-29.4303,3.9512",16,0.05,2025-04-22,Inspection,0,package_1075_before.jpg,Damaged,0,0
1076,5076,C653,San Diego,Denver,UPS,R16,2025-05-28,2025-05-28,2025-05-29,2025-05-29,Delayed,Fragile,181.8,3.2,45x40x18,1,,Storm,Severe,Holiday,V013,1827,103008,9.3,"13.7004,43.356;29.4932,171.754",24,0.04,2025-05-11,Filter Change,0,package_1076_before.jpg,Damaged,0,0
1077,5077,C513,New York,Los Angeles,UPS,R20,2025-05-09,2025-05-09,2025-05-14,2025-05-14,Delivered,Express,315.5,4.3,24x10x22,0,,Storm,Severe,Holiday,V023,3690,27622,9.4,"86.3621,67.3407;-2.6176,118.7839",22,0.08,2025-04-21,Filter Change,0,package_1077_before.jpg,Damaged,0,0
1078,5078,C885,San Diego,Miami,DHL,R7,2025-05-03,2025-05-03,2025-05-04,2025-05-04,Delivered,Fragile,69.0,1.3,32x25x9,0,,Sunny,Moderate,Holiday,V023,5606,143947,7.3,"-25.35,-109.875;15.6162,-144.4981",28,0.08,2025-04-09,Filter Change,0,package_1078_before.jpg,Damaged,0,0
1079,5079,C469,Detroit,Austin,DHL,R2,2025-05-06,2025-05-06,2025-05-11,2025-05-11,Delivered,Standard,231.5,4.6,46x30x8,0,,Storm,Severe,Strike,V016,5315,59287,6.7,"-55.5352,5.1063;79.1035,169.0837",18,0.04,2025-04-18,Oil Change,0,package_1079_before.jpg,Damaged,0,0
1080,5080,C359,Chicago,Las Vegas,FedEx,R17,2025-05-06,2025-05-07,2025-05-08,2025-05-09,Delayed,Standard,238.0,3.7,45x25x14,1,,Sunny,Low,None,V016,5732,37348,6.3,"21.3883,98.92;-21.004,-5.6433",15,0.06,2025-04-23,Filter Change,0,package_1080_before.jpg,OK,0,1
