EngineHours,Mileage,FuelConsumption,Temperature,Vibration,BreakdownFlag
5599,20666,8.0,18,0.03,0
7916,109643,10.8,17,0.01,0
5384,58861,7.2,18,0.07,0
4135,67872,4.9,27,0.02,0
2985,117967,6.9,30,0.09,0
4260,127307,5.4,16,0.08,0
1419,109475,11.8,19,0.03,0
1187,54243,5.3,21,0.08,0
6574,94956,5.9,22,0.01,0
4339,21327,6.7,26,0.08,0
6594,111321,7.1,23,0.07,0
1279,21397,7.3,23,0.02,0
2059,108980,10.7,15,0.02,0
1024,36176,8.6,17,0.09,0
3385,82195,6.2,20,0.08,0
6933,71562,8.5,16,0.07,0
2345,122896,8.3,19,0.04,0
6490,69632,10.2,30,0.06,0
4572,68804,11.0,18,0.02,0
3121,131886,5.4,27,0.06,0
6269,106467,11.1,21,0.06,0
4861,130957,8.7,22,0.07,0
2788,48948,6.2,29,0.05,0
3198,130208,10.6,26,0.09,0
5591,109134,8.2,15,0.03,0
3977,65504,6.1,15,0.01,0
4158,70417,9.5,29,0.09,0
1603,111159,6.2,23,0.07,0
4569,142058,10.7,23,0.02,0
7237,145745,4.8,28,0.01,0
7090,76711,4.7,29,0.02,0
4901,35708,5.2,18,0.06,1
7542,130763,8.5,27,0.07,0
1460,115805,11.4,19,0.05,0
6049,121964,12.0,20,0.05,0
5503,67702,11.9,21,0.07,0
6365,125729,5.2,28,0.04,0
2141,64651,9.3,19,0.02,0
4327,25365,11.9,20,0.03,0
4672,23785,6.4,15,0.07,0
3934,63644,4.7,30,0.01,0
6971,138021,10.0,15,0.01,0
4483,122919,10.8,29,0.03,0
4824,42085,6.6,23,0.04,0
7146,146840,7.5,27,0.04,0
2163,145216,5.4,24,0.04,0
7904,87308,11.7,25,0.05,0
3447,149602,6.0,23,0.07,0
3475,135740,7.3,30,0.02,0
7602,44553,7.4,18,0.05,0
2122,111602,6.1,26,0.05,0
3709,106378,10.4,16,0.01,0
7630,50648,6.4,30,0.03,0
7512,30819,6.8,22,0.09,0
3348,28299,7.5,16,0.06,0
6493,32337,7.1,22,0.06,0
4458,81680,10.3,23,0.02,0
4576,76274,10.2,17,0.02,0
2733,38992,7.9,17,0.1,0
1287,141521,11.0,25,0.08,0
5302,109265,11.0,28,0.03,0
7001,51397,6.3,15,0.03,0
3924,49511,9.3,19,0.08,0
2935,93464,8.0,25,0.02,0
7611,82944,9.1,23,0.09,0
1435,92555,11.8,19,0.08,0
3042,134603,10.9,19,0.01,0
3008,127755,7.2,26,0.06,0
5414,138177,7.7,28,0.02,0
7288,111666,4.6,23,0.06,0
7006,96193,9.0,21,0.07,0
3001,140612,9.8,21,0.09,0
2527,63085,8.6,22,0.04,0
1952,87688,7.3,18,0.1,0
4168,26066,7.1,30,0.06,0
6525,57101,10.9,23,0.09,0
4886,43124,7.9,19,0.02,0
5208,132414,12.0,29,0.02,0
6559,96628,6.4,18,0.09,0
4991,103651,7.3,17,0.03,0
1164,80793,9.5,21,0.07,1
6408,66922,10.5,17,0.04,0
2032,91322,7.7,20,0.06,0
2128,107769,6.4,21,0.04,0
4412,28856,6.1,15,0.03,0
2202,112254,4.9,27,0.09,0
2508,40706,11.4,30,0.05,0
7746,24833,6.2,30,0.01,0
7986,133602,11.8,21,0.01,0
1061,109878,11.8,24,0.04,1
1785,122491,7.8,21,0.04,0
7638,45302,9.0,30,0.01,0
6903,143932,10.7,25,0.01,0
1524,26675,7.7,20,0.06,0
1841,131311,8.5,16,0.08,0
7221,53348,6.6,22,0.07,0
5766,51848,11.5,24,0.1,0
6584,72425,10.6,30,0.08,0
1507,105761,9.1,25,0.05,0
3951,83166,5.7,17,0.06,0
5179,46087,6.8,27,0.08,0
5006,30137,6.7,19,0.04,0
4337,58607,9.3,15,0.05,0
3099,70020,9.8,22,0.08,0
5229,77157,7.8,18,0.07,0
5924,138238,10.0,29,0.05,0
5323,132998,5.6,22,0.01,0
3476,55252,10.6,27,0.04,0
4922,94834,5.2,30,0.05,0
7070,125100,11.8,28,0.08,0
5690,137770,6.3,19,0.04,0
2751,89599,8.8,29,0.04,0
3291,146872,10.6,24,0.04,0
7107,43007,7.8,18,0.06,0
3050,74984,4.8,24,0.05,0
5471,25392,11.7,15,0.01,1
1839,120448,7.7,25,0.05,0
1962,107069,9.8,26,0.09,0
5752,61755,6.6,30,0.02,0
2174,96996,5.1,24,0.06,0
1498,51777,7.7,26,0.09,0
4956,123404,8.1,17,0.02,0
1511,36667,8.8,17,0.04,0
2157,130203,7.7,16,0.05,0
4138,95519,7.0,24,0.05,0
2238,52180,11.0,15,0.03,0
1725,118822,9.1,29,0.1,0
6172,54637,7.6,29,0.08,0
2518,111059,7.4,29,0.09,0
6036,62868,4.8,20,0.09,0
3607,137505,8.5,27,0.02,0
1812,56789,5.2,22,0.06,0
3757,64116,6.4,23,0.07,0
7937,45918,11.7,30,0.02,0
2528,34401,10.3,25,0.04,0
1838,78327,5.8,24,0.09,1
6807,127779,6.2,26,0.07,0
7230,77917,9.4,25,0.05,0
3604,119854,9.5,27,0.06,0
3365,39913,9.6,22,0.02,0
3542,86333,7.1,26,0.09,0
3792,102874,10.5,29,0.03,0
3523,102299,8.1,20,0.03,0
3075,114684,5.1,29,0.06,0
2098,47469,7.2,21,0.08,0
5652,148170,6.7,27,0.06,0
4427,91357,7.0,15,0.09,0
6123,102049,10.4,21,0.09,0
1011,25084,7.7,18,0.05,0
4141,92162,11.6,20,0.08,0
1420,77215,9.7,17,0.03,0
7157,53699,9.1,22,0.05,0
6414,144752,10.7,23,0.02,0
7064,141961,7.5,27,0.09,0
2048,111981,11.8,19,0.02,0
3174,77809,11.0,22,0.05,0
2419,145561,10.4,29,0.04,0
3891,119348,8.6,24,0.09,0
5171,133662,10.0,15,0.02,0
6998,120670,5.0,27,0.1,0
3793,26150,5.9,28,0.02,0
4874,77869,5.3,28,0.1,0
2207,24397,7.0,19,0.03,0
1310,97106,6.4,19,0.06,0
7902,120306,6.5,19,0.08,0
7394,35421,9.5,18,0.08,0
4050,98076,9.6,24,0.03,0
3816,147087,9.7,27,0.04,0
1107,142095,6.1,16,0.02,0
4595,87244,10.9,25,0.03,0
1536,25579,4.5,17,0.08,0
1130,64130,10.9,19,0.03,0
1678,113625,7.4,22,0.05,0
6243,117817,6.4,21,0.05,0
1440,43416,9.1,16,0.01,0
7788,134775,8.0,23,0.09,0
4256,143329,7.6,21,0.07,0
4615,133913,5.1,27,0.05,0
1401,39391,11.4,19,0.01,0
1664,89238,7.0,21,0.06,0
6809,39991,9.5,20,0.05,0
7991,53918,7.7,19,0.09,0
3899,136364,11.0,26,0.02,0
3093,98909,9.8,15,0.06,0
6203,86676,7.3,18,0.07,0
7130,23066,8.6,24,0.08,0
6052,99515,5.8,26,0.01,0
7839,24927,8.7,20,0.05,0
5146,47454,4.6,20,0.1,0
5072,117911,8.7,27,0.07,0
7005,116756,10.5,22,0.09,0
2233,95835,9.1,20,0.1,0
2611,66820,7.8,21,0.04,0
4178,59821,7.9,17,0.04,0
3521,91526,7.7,19,0.05,0
4820,86300,5.2,19,0.08,0
1745,53586,5.8,28,0.03,0
3803,123911,5.6,20,0.04,0
6493,141294,5.7,17,0.04,0
7729,31970,9.7,27,0.06,0
5356,69180,11.2,16,0.04,0
4085,135231,6.8,22,0.08,0
4367,68646,9.1,20,0.1,0
7303,121748,11.5,16,0.08,0
3213,42811,11.0,22,0.05,0
5799,102600,5.8,17,0.04,0
4040,141700,10.3,26,0.07,0
7752,68384,7.6,25,0.06,0
2921,38515,9.1,25,0.08,0
2338,39115,9.0,29,0.03,0
1290,90218,7.9,22,0.07,0
7922,141423,6.2,19,0.08,0
2874,26268,6.2,15,0.04,0
1633,134453,11.7,26,0.09,0
2140,132159,7.6,28,0.03,1
3594,42625,8.9,17,0.07,0
2452,91261,9.8,26,0.01,0
6136,88519,10.1,17,0.05,0
1194,32862,7.7,21,0.02,0
1460,100513,8.7,30,0.05,0
7546,106833,12.0,15,0.04,0
6601,129159,6.3,23,0.02,0
1302,55786,8.4,22,0.07,0
5084,117928,9.8,27,0.06,0
7156,86296,9.7,18,0.09,0
4499,29263,6.9,19,0.08,0
4262,31971,9.1,28,0.04,0
3282,26357,10.9,22,0.04,0
5527,47683,10.6,15,0.04,0
7574,147716,11.0,29,0.1,0
7118,95962,5.3,23,0.09,0
4955,85386,7.9,19,0.05,0
7314,114356,10.1,20,0.09,0
6226,115206,6.5,27,0.07,0
6142,96556,9.3,29,0.02,0
6860,146424,6.2,25,0.08,0
5707,51443,5.8,24,0.08,0
7910,66531,8.3,25,0.05,0
2820,107135,8.3,23,0.05,1
4094,94928,6.1,29,0.03,0
1098,103344,6.4,20,0.08,0
7516,55134,9.8,26,0.07,0
4075,113145,11.4,19,0.01,0
4364,143004,8.4,24,0.03,0
5747,58088,6.9,29,0.05,0
7462,83221,6.7,30,0.04,1
2807,143462,6.9,17,0.01,0
1746,35060,8.5,29,0.04,0
6205,35856,10.0,19,0.03,0
7388,24277,6.1,21,0.07,0
6056,87227,9.7,25,0.1,0
3597,45302,5.2,22,0.06,0
3980,77156,10.4,18,0.02,0
6576,88815,8.2,21,0.09,0
4793,60194,4.7,18,0.02,0
3676,30104,6.7,23,0.09,0
6810,74339,7.2,27,0.08,0
7537,20085,9.5,25,0.07,0
3175,79478,7.1,17,0.05,0
7462,39101,10.9,20,0.03,0
1040,90814,8.8,28,0.09,1
2214,38154,11.5,29,0.08,0
1068,22424,5.8,20,0.06,0
6215,126679,11.6,25,0.1,0
2595,96078,10.5,27,0.01,0
1406,37283,10.3,25,0.06,0
5709,123837,8.6,25,0.08,0
6077,75204,10.1,29,0.03,0
1850,89853,7.8,21,0.07,0
2215,127206,7.7,17,0.09,0
5932,73406,8.6,27,0.05,0
4032,127316,7.2,19,0.03,0
6468,27888,8.6,19,0.05,0
6059,80907,10.2,21,0.05,0
4376,132035,7.6,23,0.1,0
6069,53416,7.0,30,0.06,0
2965,104119,9.1,23,0.09,0
6161,36553,8.2,23,0.04,0
4685,40913,9.4,17,0.02,0
1517,90838,8.3,22,0.06,0
5180,122412,7.2,29,0.03,0
2627,69504,11.3,18,0.1,0
2579,73864,6.7,20,0.04,0
2648,137267,4.5,24,0.07,0
1361,146392,11.1,26,0.01,0
3916,73900,5.0,22,0.07,0
4427,87452,9.1,20,0.08,0
6718,116470,8.4,29,0.02,0
3215,116843,11.4,29,0.08,0
1601,75816,5.1,29,0.03,0
6644,94676,7.0,15,0.08,0
4154,102586,7.6,30,0.08,0
1389,39787,10.0,26,0.09,0
4988,111084,9.5,30,0.09,0
5083,65321,9.7,29,0.07,0
3632,109163,7.8,22,0.01,0
5080,45803,7.4,26,0.02,0
7310,133814,7.0,30,0.07,0
6382,76766,6.5,17,0.1,0
3748,112838,9.0,28,0.04,0
5120,26548,10.9,30,0.03,0
3899,77821,11.7,16,0.05,0
4522,65827,5.8,28,0.07,0
3296,140919,9.0,27,0.08,0
2549,122959,6.4,18,0.02,0
7588,122011,5.1,22,0.03,0
3884,135223,8.3,24,0.01,0
2035,73394,6.9,17,0.05,0
5813,57982,11.8,29,0.07,0
1842,26899,6.9,26,0.02,0
6800,94993,7.2,29,0.08,0
2267,45230,8.0,17,0.01,0
4407,107081,9.1,19,0.09,0
4730,127364,6.0,21,0.03,0
4457,115404,7.9,25,0.04,0
6376,89865,5.0,15,0.02,0
2429,54926,11.1,25,0.05,0
3917,127544,11.8,30,0.06,0
5294,96222,9.0,16,0.03,0
7493,120763,8.8,21,0.06,0
1340,65954,4.9,15,0.08,0
3901,99111,5.9,26,0.02,0
4996,100228,9.9,22,0.05,0
1272,79817,11.7,22,0.09,0
4551,54926,6.7,20,0.08,0
6603,130449,8.7,22,0.08,0
4909,41841,11.1,15,0.09,0
1639,38077,12.0,23,0.1,0
6911,141241,11.4,24,0.06,0
2803,75626,9.0,21,0.03,0
5118,116882,8.3,19,0.01,0
6124,89289,9.9,17,0.06,0
3090,72462,10.8,19,0.02,0
5396,139224,7.8,29,0.02,0
1179,145755,11.4,28,0.06,0
6337,116967,11.9,25,0.02,0
3393,138347,11.2,27,0.03,0
6800,130002,11.7,21,0.01,0
2566,82001,10.5,22,0.08,0
6738,121270,7.2,15,0.06,0
2098,25817,11.7,16,0.06,0
3856,37153,4.6,21,0.03,0
6593,138523,4.6,28,0.03,0
5880,22894,9.4,28,0.07,0
7916,101491,7.5,17,0.07,0
2970,94984,7.8,28,0.02,0
7727,66274,7.2,19,0.04,0
7206,89672,10.3,20,0.05,1
5633,91051,5.4,19,0.05,0
1893,104918,11.5,23,0.08,0
7504,23872,4.7,25,0.04,0
3434,129772,7.5,24,0.08,0
4498,75639,11.7,17,0.05,0
4000,39795,10.6,19,0.06,0
1455,136475,5.9,22,0.02,0
5325,83474,8.1,29,0.04,0
5202,91911,8.8,23,0.02,0
4370,56278,4.9,22,0.04,0
4948,21140,5.8,24,0.02,0
2841,28260,7.3,19,0.02,0
5956,86081,10.9,20,0.07,0
3786,119455,11.4,18,0.06,0
5142,84635,11.9,16,0.06,0
1217,122671,9.8,19,0.08,0
4292,93166,10.5,23,0.06,1
5473,66403,9.4,25,0.05,0
6192,147534,5.9,17,0.06,0
6699,72123,7.2,15,0.09,0
6808,62520,6.7,24,0.08,0
3885,126595,7.4,19,0.09,0
5950,111522,12.0,28,0.02,0
7015,80440,11.8,19,0.09,0
4888,78344,8.2,28,0.04,0
4375,50422,10.9,20,0.01,0
5120,37383,8.4,22,0.05,0
4385,26434,8.2,16,0.06,0
7896,20813,4.7,24,0.02,0
3688,31850,6.9,24,0.04,0
7997,106696,9.3,27,0.02,0
6910,118065,6.4,21,0.08,0
1380,59799,8.2,29,0.04,0
2691,120179,6.1,25,0.06,0
5460,46877,9.2,16,0.04,0
5893,84933,11.0,23,0.05,0
7309,63110,7.5,23,0.1,0
5038,84640,8.3,20,0.1,0
3552,41802,7.6,21,0.06,0
5525,97117,9.4,26,0.04,0
6242,80849,7.6,29,0.04,0
2774,120496,8.7,21,0.07,0
5617,128839,10.1,16,0.07,0
7044,83616,8.0,30,0.02,0
4433,51028,10.5,25,0.08,0
7507,42861,4.8,25,0.06,0
2967,87035,6.5,24,0.08,0
5776,25023,4.5,15,0.03,0
7412,73701,7.7,20,0.09,0
4381,25069,8.5,19,0.03,0
7347,138184,6.4,24,0.08,0
7570,74543,5.7,22,0.05,0
7108,50320,7.0,15,0.07,0
1648,22757,7.1,28,0.09,0
7187,64212,9.5,17,0.06,0
4996,121324,5.4,30,0.1,0
5767,104938,7.2,25,0.09,0
2673,44287,6.9,22,0.02,0
2591,82582,8.0,26,0.01,0
3308,40447,9.1,17,0.08,0
5547,42646,11.7,24,0.1,0
4314,82407,7.8,19,0.03,0
1548,124910,5.0,25,0.02,0
6478,103586,10.4,30,0.06,0
5753,145191,9.7,30,0.06,0
7246,78892,7.5,28,0.07,0
3357,70849,8.6,18,0.09,0
5061,85725,10.4,28,0.04,0
7094,113915,9.2,17,0.06,0
6787,78658,10.8,29,0.01,0
2791,30765,11.8,25,0.09,0
2878,142604,7.4,28,0.03,0
7079,130388,6.7,21,0.03,0
7638,131449,6.6,19,0.07,0
3679,39624,7.4,17,0.05,0
5017,133412,8.6,30,0.04,0
1069,33110,7.1,28,0.09,0
3812,40255,10.6,30,0.09,0
6908,30636,8.5,27,0.02,0
7865,141527,9.7,28,0.04,0
5240,65029,6.0,22,0.06,0
5200,127355,5.1,21,0.08,0
6089,81075,5.6,25,0.04,0
3377,140284,10.1,26,0.05,0
6065,53358,9.7,17,0.08,0
3201,68864,7.8,15,0.02,0
3436,50015,10.8,25,0.04,0
3224,32626,10.2,21,0.05,0
6182,31867,6.4,22,0.09,0
4345,143311,7.8,16,0.05,0
6584,138707,8.0,25,0.05,0
5452,39943,10.0,22,0.06,0
1826,87533,5.5,30,0.09,0
4120,119250,6.6,15,0.05,0
2092,128143,6.9,21,0.03,0
5055,105770,5.1,25,0.08,0
1893,24233,11.8,30,0.02,0
3982,109539,9.5,17,0.08,0
7953,116513,4.6,22,0.03,0
5350,127538,10.3,24,0.03,0
6010,92585,7.4,22,0.01,0
7560,39648,5.5,22,0.07,0
4283,137860,10.4,22,0.09,0
2037,81024,5.7,25,0.05,0
6093,39370,6.3,29,0.01,0
2493,138533,6.8,29,0.09,0
5127,31904,8.4,24,0.07,0
6856,129711,4.8,26,0.04,0
6240,146974,5.0,24,0.08,0
6847,108324,9.5,15,0.04,0
5274,53763,7.0,20,0.02,0
3521,25522,5.5,20,0.03,0
6714,122704,9.7,24,0.1,0
2262,28437,5.3,19,0.07,0
5309,67005,8.5,25,0.09,0
3329,146287,10.1,27,0.07,0
1503,46583,8.4,20,0.09,1
2404,50829,7.4,24,0.08,0
2465,55591,9.6,30,0.01,0
6883,93211,5.6,24,0.07,0
5586,21945,11.9,26,0.06,0
5145,53523,8.6,23,0.02,0
6282,63268,10.6,29,0.09,0
3749,33999,11.8,19,0.07,0
4669,114548,11.0,15,0.09,1
3017,65726,5.0,23,0.02,0
1788,148985,4.9,26,0.09,0
5174,55746,7.8,25,0.03,0
4543,49643,7.3,19,0.1,0
6555,121573,7.5,22,0.04,0
4127,96420,7.5,20,0.06,0
4282,101605,6.8,16,0.07,0
6945,111718,8.0,23,0.08,0
7173,128577,9.4,27,0.06,0
3796,63842,8.0,22,0.07,0
5462,55620,9.8,19,0.09,0
5061,87334,10.3,21,0.05,0
6985,88804,7.8,16,0.05,0
2585,29740,11.4,29,0.08,0
7162,108992,7.6,25,0.07,0
5550,100027,7.9,22,0.03,0
2417,117974,9.0,27,0.04,0
6377,119876,7.8,21,0.04,0
4266,90194,10.7,15,0.1,0
2100,132753,7.9,24,0.09,0
5068,60438,7.1,19,0.03,0
5914,47360,7.1,19,0.05,0
4945,115694,6.4,23,0.08,0
7943,100887,5.9,15,0.06,0
3223,43797,8.8,17,0.08,0
6612,141766,6.8,19,0.07,0
5729,145346,10.0,19,0.03,0
4999,97558,11.4,17,0.05,0
7605,59663,7.1,27,0.04,0
4177,107374,6.3,18,0.04,0
4263,55899,5.7,23,0.03,0
7465,83823,6.1,25,0.09,0
3208,57280,11.3,24,0.02,0
4943,96640,5.8,21,0.09,0
7572,67712,6.2,19,0.04,0
3150,138218,6.4,24,0.06,0
3653,73195,5.0,21,0.06,0
6969,67156,6.5,21,0.04,0
2775,104050,11.7,25,0.02,0
3937,133634,10.9,26,0.08,0
3768,123857,6.8,17,0.02,0
4087,105459,9.8,26,0.09,0
4150,106020,7.9,22,0.03,0
4510,63538,10.0,17,0.04,0
6700,97650,5.9,23,0.09,0
4531,82713,10.2,20,0.05,0
3035,115780,7.6,21,0.03,0
1173,98850,7.8,27,0.04,0
7085,67191,5.1,27,0.08,0
7278,133187,6.2,28,0.09,0
3645,64523,5.9,21,0.06,0
7320,35317,8.3,22,0.05,1
6301,43947,7.6,16,0.02,0
1161,45295,6.4,22,0.09,0
7089,67726,9.3,25,0.07,0
4226,55214,8.7,30,0.09,0
2360,70970,6.2,19,0.08,0
1558,65301,7.7,28,0.09,0
2668,42059,8.9,18,0.03,1
4349,72603,5.5,26,0.01,0
3481,104399,11.1,29,0.08,0
7252,34615,4.7,22,0.02,0
1255,143764,7.9,25,0.05,0
5593,132337,6.1,30,0.02,0
1743,71144,5.6,16,0.02,0
2785,83049,9.2,25,0.08,0
4791,84508,12.0,18,0.09,0
6701,44115,11.6,25,0.03,0
5385,100569,7.1,16,0.06,0
7626,90756,8.3,16,0.06,0
1592,38786,9.2,22,0.04,0
1338,48792,7.8,25,0.06,1
2907,94579,7.6,24,0.07,0
2686,107323,9.9,21,0.03,0
6928,74833,9.6,15,0.04,0
3814,125926,4.6,23,0.04,0
6187,136303,11.0,17,0.09,0
7730,26348,8.6,19,0.02,0
3847,148425,11.4,15,0.04,0
6448,64705,4.9,30,0.05,0
7581,21647,10.9,17,0.08,0
4185,95989,11.3,29,0.02,0
1966,85320,9.2,22,0.03,0
5636,36982,11.3,26,0.01,0
5294,94540,5.1,21,0.07,0
5789,105397,5.8,30,0.03,0
2978,71562,5.5,17,0.02,0
7787,71464,4.9,20,0.02,0
6243,86308,11.3,30,0.05,0
1990,45970,9.9,22,0.04,0
4049,59138,7.1,29,0.07,0
6041,69021,8.8,25,0.05,0
2846,59070,7.1,16,0.05,0
5083,23580,10.2,20,0.03,0
